Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Elektrischer Mitesser-Entferner,Electric Blackhead Remover,ambiano,aldi-sud,4.9E+17,AMBIANO Stabmixer oder elektrische Salz- und Pfeffermühlen,AMBIANO hand blenders or electric salt and pepper mills,https://s7g10.scene7.com/is/image/aldi/202111120604,14.99,14.99,EUR,0,0,"
Je Stück/Set
Stabmixer mit Edelstahlklingen und Schneebesenaufsatz oder elektrische Salz- und Pfeffermühlen mit Keramikmahlwerk
	 
Versch. Designs:
	
Stabmixer:
		
400 W, 220–240 V~, 50–60 Hz
Ergonomische Gehäuseform
Stufenlose Geschwindigkeitskontrolle mit Turbo-Funktion
Inkl. Messbecher aus Kunststoff (Fassungsvermögen ca.: 600 ml)
Mit Schneebesenaufsatz aus Edelstahl
Inkl. Wandhalterung
Designs:
			
Schwarz/ Edelstahl
Schwarz/Rosé
Weiß/Edelstahl




Elektrische Salz- und Pfeffermühlen, 2er-Set:
		
Stufenlos einstellbare Mahlstärke von fein bis grob
Gehäuse mit Edelstahl-Ummantelung
Transparenter Gewürzbehälter, Fassungsvermögen ca.: 87 ml
Integrierte LED-Beleuchtung
Leichte Einhandbedienung
Inkl. 12 x AAA-Batterien (6 Batterien je Mühle)
Designs:
			
Edelstahl
Schwarz/Rosé
Weiß/Edelstahl







","Per piece / set
Hand blenders with stainless steel blades and whisk attachment or electric salt and pepper mills with ceramic grinders

Miscellaneous Designs:

Hand blender:

400 W, 220-240 V ~, 50-60 Hz
Ergonomic housing shape
Stepless speed control with turbo function
Incl. Plastic measuring cup (capacity approx .: 600 ml)
With whisk attachment made of stainless steel
Incl. Wall bracket
Designs:

Black / stainless steel
Black / rose
White / stainless steel




Electric salt and pepper mills, set of 2:

Infinitely adjustable grinding strength from fine to coarse
Housing with stainless steel casing
Transparent spice container, capacity approx .: 87 ml
Integrated LED lighting
Easy one-handed operation
Incl. 12 x AAA batteries (6 batteries per grinder)
Designs:

stainless steel
Black / rose
White / stainless steel",https://www.aldi-sued.de/de/p.ambiano-stabmixer-oder-elektrische-salz--und-pfeffermuhlen.490000000000809543.html
Elektrischer Mitesser-Entferner,Electric Blackhead Remover,ambiano,aldi-sud,4.9E+17,AMBIANO Edelstahl-Wasserkocher oder -Toaster,AMBIANO stainless steel kettle or toaster,https://s7g10.scene7.com/is/image/aldi/202111120598,19.99,19.99,EUR,0,0,"
Je Stück
Wasserkocher mit 360°-Basisstation oder Toaster mit stufenloser Bräunungsgradeinstellung
	 
Versch. Designs:
	
Edelstahl-Toaster:
		
800 – 1000 W
Mit Brötchenröstaufsatz
Praktische Krümelschublade
Beleuchtete Tasten
Designs:
			
Edelstahl
Schwarz/Rosé
Weiß/Edelstahl




Edelstahl-Wasserkocher:
		
2600 – 3100 W
Beleuchteter Ein-/Ausschalter
Kabelaufwicklung unter der Basisstation für platzsparendes Verstauen
Herausnehmbarer Kalkfilter
Fassungsvermögen ca.: 1,7 l
Kabellänge ca.: 75 cm
Designs:
			
Edelstahl
Schwarz/Rosé
Weiß/Edelstahl







","Per piece
Kettle with 360 ° base station or toaster with infinitely variable degree of browning

Miscellaneous Designs:

Stainless steel toaster:

800-1000 W.
With bread roll attachment
Practical crumb tray
Illuminated buttons
Designs:

stainless steel
Black / rose
White / stainless steel




Stainless steel kettle:

2600 - 3100 W.
Illuminated on / off switch
Cable rewind under the base station for space-saving storage
Removable limescale filter
Capacity approx .: 1.7 l
Cable length approx .: 75 cm
Designs:

stainless steel
Black / rose
White / stainless steel",https://www.aldi-sued.de/de/p.ambiano-edelstahl-wasserkocher-oder--toaster.490000000000809165.html
Mini-Lüfter,Mini Fan,tefal,aldi-sud,4.9E+17,TEFAL ActiFry® Heißluftfritteuse,TEFAL ActiFry® hot air fryer,https://s7g10.scene7.com/is/image/aldi/202111070251,89.99,89.99,EUR,0,0,"
UVP 259.00 €, –65 % im Preis reduziert
Je Stück
1400 W
Fassungsvermögen ca.: 1 kg
Portionen für bis zu 4 Personen
Für schonendes Garen, Frittieren und Braten ohne Ölbad
Rotierender Rührarm: automatisches Rühren und Umwälzen ohne Anbrennen, gleichmäßiges Verteilen des wenigen Öls
Autostopp beim Öffnen des Deckels
Transparenter Glasdeckel zur Beobachtung des Frittiervorgangs (ohne Beschlagen)
Mit aufgedruckter Garzeittabelle und 5 Rezeptideen
Keramik-Garbehälter mit kratzfester Antihaftversiegelung
Wärmeisoliertes Gehäuse
Inkl. Dosierlöffel für Öl
Inkl. Snacking-Garkorb
LCD-Display
Timerfunktion
Einfache Reinigung durch spülmaschinengeeignete und herausnehmbare Teile

","RRP € 259.00, -65% reduced in price
Per piece
1400 W
Capacity approx .: 1 kg
Portions for up to 4 people
For gentle cooking, deep-frying and frying without an oil bath
Rotating stirring arm: automatic stirring and circulation without burning, even distribution of the little oil
Autostop when opening the lid
Transparent glass lid for observing the deep-frying process (without fogging)
With a printed cooking time table and 5 recipe ideas
Ceramic cooking container with scratch-resistant non-stick coating
Thermally insulated housing
Incl. Measuring spoon for oil
Including a snacking basket
LCD display
Timer function
Easy cleaning thanks to dishwasher-safe and removable parts",https://www.aldi-sued.de/de/p.tefal-actifry-heissluftfritteuse.490000000000712031.html
Elektrischer Mitesser-Entferner,Electric Blackhead Remover,philips,aldi-sud,4.9E+17,PHILIPS Babyphone SCD502/26,PHILIPS Babyphone SCD502/26,https://s7g10.scene7.com/is/image/aldi/202111070036,39.95,39.95,EUR,4,1,"
UVP 59.99 €, –33 % im Preis reduziert
Je Stück
Sehr große Reichweite: bis zu 300 m im Außenbereich und bis zu 50 m im Innenbereich
Optische Geräuschpegelanzeige inkl. Lautstärkeregelung – 5 LED-Lichter geben den Geräuschpegel an
Smart ECO Mode: max. Verbindungssicherheit bei effizientem Energieverbrauch
Warnanzeige bei schwacher Ladung
Warnung bzgl. Reichweite
Batterie- und Netzbetrieb
Betriebszeit von bis zu 24 Std.
Beruhigendes Nachtlicht

","RRP € 59.99, -33% reduced in price
Per piece
Very long range: up to 300 m outdoors and up to 50 m indoors
Optical noise level display including volume control - 5 LED lights indicate the noise level
Smart ECO Mode: maximum connection security with efficient energy consumption
Low charge warning
Warning regarding range
Battery and mains operation
Operating time of up to 24 hours
Soothing night light",https://www.aldi-sued.de/de/p.philips-babyphone-scd-.490000000000710260.html
Elektrischer Mitesser-Entferner,Electric Blackhead Remover,ambiano,aldi-sud,4.9E+17,AMBIANO Klassische Küchenmaschine MD18684,AMBIANO classic kitchen machine MD18684,https://s7g10.scene7.com/is/image/aldi/202111120578,69.99,69.99,EUR,0,0,"
Je Stück
Fassungsvermögen ca.: 5 l
800-W-Motor
6-stufig einstellbare Geschwindigkeit und Pulsfunktion
Spritzschutz mit Einfüllöffnung
Zubehör: Schneebesen, antihaftbeschichteter Quirl und Knethaken
Neigekopf-Mechanismus
Alle abnehmbaren Teile sind spülmaschinenfest
Rutschfeste Füße
Überhitzungsschutz
	 
Versch. Farben:
	
Gunmetal Grey
Matt Black
Frosted Pearl
Rosé Champagne



","Per piece
Capacity approx .: 5 l
800 W motor
6-stage adjustable speed and pulse function
Splash guard with filler opening
Accessories: whisk, non-stick whisk and dough hook
Tilt head mechanism
All removable parts are dishwasher safe
Non-slip feet
Overheating protection

Miscellaneous Colours:

Gunmetal Gray
Matt Black
Frosted Pearl
Rosé Champagne",https://www.aldi-sued.de/de/p.ambiano-klassische-kuchenmaschine-md.490000000000808441.html
Elektrischer Mitesser-Entferner,Electric Blackhead Remover,ambiano,aldi-sud,4.9E+17,AMBIANO Waffeleisen oder Crêpe Maker,AMBIANO waffle iron or crepe maker,https://s7g10.scene7.com/is/image/aldi/202111120619,14.99,14.99,EUR,0,0,"
Je Stück
Antihaftbeschichtete Backflächen
	 
Belgisches Waffeleisen:
	
Rechteckige Waffelform (belgische Waffeln)
230 V, 1000 W
Backampel
Antihaftbeschichtete Backflächen
Wärmeisolierter Griff
Leichte Reinigung
Temperatur einstellbar bis max. 200 °C
Rutschhemmende Gummifüße
Kabellänge ca.: 1 m
Farben:
		
Schwarz
Rot




Waffeleisen, Herzform:
	
5-Herz-Waffelform
230 V, 1200 W
Backampel
Antihaftbeschichtete Backflächen
Wärmeisolierender Griff
Leichte Reinigung
Temperatur einstellbar bis max. 200 °C
Rutschhemmende Gummifüße
Kabellänge ca.: 1 m
Farben:
		
Schwarz
Rot




Crêpe Maker:
	
Ø ca.: 30 cm
230 V, 1000 W
Temperaturregler und Kontrollleuchten
Antihaftbeschichtete Backfläche
Inkl. Teigverteiler und Crêpewender
Leichte Reinigung
Rutschhemmende Gummifüße
Kabellänge ca.: 75 cm
Farben:
		
Schwarz
Rot





","Per piece
Non-stick coated baking surfaces

Belgian waffle iron:

Rectangular waffle shape (Belgian waffles)
230 V, 1000 W.
Baking light
Non-stick coated baking surfaces
Heat-insulated handle
Easy cleaning
Temperature adjustable up to max. 200 ° C
Anti-slip rubber feet
Cable length approx .: 1 m
Colours:

black
Red




Waffle iron, heart shape:

5-heart waffle shape
230 V, 1200 W.
Baking light
Non-stick coated baking surfaces
Heat-insulating handle
Easy cleaning
Temperature adjustable up to max. 200 ° C
Anti-slip rubber feet
Cable length approx .: 1 m
Colours:

black
Red




Crepe Maker:

Ø approx .: 30 cm
230 V, 1000 W.
Temperature regulator and indicator lights
Non-stick coated baking surface
Including dough spreader and crepe turner
Easy cleaning
Anti-slip rubber feet
Cable length approx .: 75 cm
Colours:

black
Red",https://www.aldi-sued.de/de/p.ambiano-waffeleisen-oder-crpe-maker.490000000000810038.html
Echter kabelloser Kopfhörer,True Wireless Earphone,jbl,aldi-sud,4.9E+17,JBL HARMAN In-Ear-Kopfhörer Wave 100TWS,JBL HARMAN In-Ear-Kopfhörer Wave 100TWS,https://s7g10.scene7.com/is/image/aldi/202111070246,39.99,39.99,EUR,5,1,"
UVP 59.99 €, –33 % im Preis reduziert
Je Set
Bis zu 20 Std. Wiedergabezeit
Bluetooth® 5.0
JBL Deep Bass Sound für satte konzertartige Bässe
Ohrhörer in beliebiger Reihenfolge aus Ladeschale nehmen und mit einem oder beiden Musik hören oder telefonieren dank Dual-Connect-Funktion
Telefonate per Freisprecheinrichtung
Inkl. Ladestation
Handliches Format und hoher Tragekomfort durch ergonomische Ohrhörer mit Ohrstöpseln in 3 Größen
Steuerung von Anrufen, Musik und Sprachassistenten über die Ohrhörer

","RRP € 59.99, -33% reduced in price
Per set
Up to 20 hours of playback time
Bluetooth® 5.0
JBL Deep Bass Sound for rich concert-like bass
Take the earphones out of the charging cradle in any order and listen to music or make calls with one or both of them thanks to the dual-connect function
Hands-free phone calls
Incl. Charging station
Handy format and high wearing comfort thanks to ergonomic earphones with earplugs in 3 sizes
Control calls, music and voice assistants through the earbuds",https://www.aldi-sued.de/de/p.jbl-harman-in-ear-kopfhoerer-wave-tws.490000000000711931.html
LEDs,LEDs ,philips,aldi-sud,4.9E+17,PHILIPS LED-Deckenleuchte ,PHILIPS LED ceiling light,https://s7g10.scene7.com/is/image/aldi/202111120022,14.99,14.99,EUR,0,0,"
Je Stück
Lichtfarbe: Warmweiß
2700 K
	 
Versch. Modelle:
	
LED-Bad-Deckenleuchte:
		
UVP 29.99 €, –50 % im Preis reduziert
Leistung: 1 x 12 W
1200 lm
Sofortstart
Kunststoffdiffuser
Lichtfarbe: 2700 K
Schaltzyklen: 15000
Schutzklasse: IP44
Spannung: 220 V – 240 V/50 – 60 Hz
Maße ca.: 6,5 x 28,7 x 28,7 cm
Lebensdauer ca.: 15000 Std.


LED-Deckenleuchte, mit Sensor
		
UVP 36.99 €, –59 % im Preis reduziert
Leistung: 1 x 12 W
1000 lm
Sofortstart
Lichtfarbe: 2700 K
Schaltzyklen: 15000
Spannung: 220 V – 240 V/50 – 60 Hz
Maße ca.: 8 x 26 x 26 cm
Lebensdauer ca.: 15000 Std.


LED-Deckenleuchte:
		
UVP 19.99 €, –25 % im Preis reduziert
Leistung: 1 x 17 W
1700 lm
Sofortstart
Lichtfarbe: 2700 K
Schaltzyklen: 15000
Spannung: 220 V – 240 V/50 – 60 Hz
Maße ca.: 6,8 x 32 x 32 cm
Lebensdauer ca.: 15000 Std.





","Per piece
Light color: warm white
2700 K

Miscellaneous Models:

LED bathroom ceiling light:

RRP € 29.99, -50% reduced in price
Power: 1 x 12 W.
1200 lm
Immediate start
Plastic diffuser
Light color: 2700 K
Switching cycles: 15000
Protection class: IP44
Voltage: 220 V - 240 V / 50 - 60 Hz
Dimensions approx .: 6.5 x 28.7 x 28.7 cm
Lifespan approx .: 15000 hours


LED ceiling light, with sensor

RRP € 36.99, -59% reduced in price
Power: 1 x 12 W.
1000 lm
Immediate start
Light color: 2700 K
Switching cycles: 15000
Voltage: 220 V - 240 V / 50 - 60 Hz
Dimensions approx .: 8 x 26 x 26 cm
Lifespan approx .: 15000 hours


LED ceiling light:

RRP € 19.99, -25% reduced in price
Power: 1 x 17 W.
1700 lm
Immediate start
Light color: 2700 K
Switching cycles: 15000
Voltage: 220 V - 240 V / 50 - 60 Hz
Dimensions approx .: 6.8 x 32 x 32 cm
Lifespan approx .: 15000 hours",https://www.aldi-sued.de/de/p.philips-led-deckenleuchte-.490000000000808972.html
Küchenmaschine mit Kochen,Food Processor with Cooking ,aeg,aldi-sud,4.9E+17,AEG Wasserkocher,AEG kettle,https://s7g10.scene7.com/is/image/aldi/202111070236,24.99,24.99,EUR,0,0,"
UVP 54.95 €, –54 % im Preis reduziert
Je Stück
Modell K3-1-3ST
2200 W
Praktische Wasserstandsanzeige
Entnehmbarer Kalkfilter
Mit 360° drehbarem Sockel
Deckel kann einhändig geöffnet werden
3-fache Abschaltautomatik
Fassungsvermögen ca.: 1,7 l
Maße ca.: 21,5 x 15 x 24 cm
Gewicht ca.: 0,97 kg

","RRP € 54.95, -54% reduced in price
Per piece
Model K3-1-3ST
2200 W
Practical water level indicator
Removable limescale filter
With a base that can be rotated 360 °
Lid can be opened with one hand
3-fold automatic switch-off
Capacity approx .: 1.7 l
Dimensions approx .: 21.5 x 15 x 24 cm
Weight approx .: 0.97 kg",https://www.aldi-sued.de/de/p.aeg-wasserkocher.490000000000709148.html
Elektrischer Toaster,Electric Toaster ,aeg,aldi-sud,4.9E+17,AEG Toaster,AEG Toaster,https://s7g10.scene7.com/is/image/aldi/202111070234,24.99,24.99,EUR,0,0,"
UVP 54.95 €, –54 % im Preis reduziert
Je Stück
Modell 3-T-1-3-ST
Bräunungsgrad in 7 Stufen einstellbar
Stopp-Taste
Sicheres Cool-Touch-Gehäuse
Auftau- und Aufwärm-Knopf
Automatische Zentrierung der Brotscheiben
Herausnehmbare Krümelschublade
Entnehmbarer Brötchenaufsatz
Brötchenaufback-Funktion

","RRP € 54.95, -54% reduced in price
Per piece
Model 3-T-1-3-ST
The degree of browning can be set in 7 levels
Stop button
Safe cool-touch housing
Defrost and warm-up button
Automatic centering of the bread slices
Removable crumb tray
Removable bread roll attachment
Bread roll function",https://www.aldi-sued.de/de/p.aeg-toaster.490000000000707858.html
