Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Steam Cleaner ,Steam Cleaner ,PHILIPS,aldi-uk,8710103966685,Philips Handheld Garment Steamer,Philips Handheld Garment Steamer,https://cdn.aldi-digital.co.uk//Philips-Handheld-Garment-Steamer-A.jpg?o=azEMygZOIpVQva7H9FxcV%40BXZ2Mj&amp;V=cygr,29.99,29.99,GBP,4.57140017,14,"


Product Information
                
            


















Brand:

                        
                            Philips
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Cable Length:

                        
                            2m (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            Water tank: 60ml (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            12 x 38 x 15cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Heat Up Time:

                        
                            < 1 minute
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Steam Cleaners
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            1000W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Weight:

                        
                            0.73kg (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Steam clothes in the comfort of your own home with this handy Philips Handheld Garment Steamer. Easy to use and ready to use in an incredible 60 seconds so your clothes will be steamed in no time at all!


Contents


1 x Handheld garment steamer1 x Brush1 x Filling cup


Features


Ideal companion to your iron, no board neededReady to use in less than 1 minuteReady to use light indicatorPerfect for delicate fabrics and difficult to iron areasEasily refresh any clothing or upholsteryNo burns guaranteedLightweight compact design makes it easy to use anytimeContinuous steam removes odours and kills 99.9% of bacteriaFast crease removalContinuous steam up to 20mins (approx.)Refill during useNon-detachable water tankCompact solutionEasy de-wrinklingSafe on all ironable fabrics


Suitable Use

                    
                            All ironable fabrics
                        
                    
                        
                        
                            
                            
                        
                    
                


","Product Information
                
            


















Brand:

                        
                            Philips
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Cable Length:

                        
                            2m (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            Water tank: 60ml (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            12 x 38 x 15cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Heat Up Time:

                        
                            < 1 minute
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Steam Cleaners
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            1000W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Weight:

                        
                            0.73kg (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Steam clothes in the comfort of your own home with this handy Philips Handheld Garment Steamer. Easy to use and ready to use in an incredible 60 seconds so your clothes will be steamed in no time at all!


Contents


1 x Handheld garment steamer1 x Brush1 x Filling cup


Features


Ideal companion to your iron, no board neededReady to use in less than 1 minuteReady to use light indicatorPerfect for delicate fabrics and difficult to iron areasEasily refresh any clothing or upholsteryNo burns guaranteedLightweight compact design makes it easy to use anytimeContinuous steam removes odours and kills 99.9% of bacteriaFast crease removalContinuous steam up to 20mins (approx.)Refill during useNon-detachable water tankCompact solutionEasy de-wrinklingSafe on all ironable fabrics


Suitable Use

                    
                            All ironable fabrics",https://www.aldi.co.uk/philips-handheld-garment-steamer/p/810748546065100
Radiator,Radiator,AMBIANO,aldi-uk,4088600422367,Ambiano Milk Heater &amp; Frother,Ambiano Milk Heater &amp; Frother,https://cdn.aldi-digital.co.uk//Ambiano-Milk-Heater-&amp;-Frother-A.jpg?o=bgI82nt9xMwfX9kU1Yw5Rbos%40WAj&amp;V=q9pp,19.99,19.99,GBP,3.25,12,"


Product Information
                
            


















Brand:

                        
                            Ambiano
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            Frothing milk: 115ml, Warming milk: 240ml (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Colour:

                        
                            Black, White, Grey
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Coffee Machines
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            500W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Create your own professional standard drinks with the Ambiano Milk Heater & Frother. No matter your drink preference, this helpful tool is equipped to deal with your customised tastes. The froth functionality can be used to create both warm or cold froth to suit your desired drink. Plus, with its non-stick coating, cleaning in time for your next brew is effortless. 


Features


360° Cordless jugNon-stick coating for easy cleaningAnti-leakage systemHeats milk up to 60-70°C (approx.)Maximum level markingCan be used to froth cold milkSTRIX 360° base3 FunctionsAutomatic switch off


Guarantee/Warranty

                    
                            3 Years
                        
                    
                        
                        
                            
                            
                        
                    
                


","Product Information
                
            


















Brand:

                        
                            Ambiano
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            Frothing milk: 115ml, Warming milk: 240ml (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Colour:

                        
                            Black, White, Grey
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Coffee Machines
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            500W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Create your own professional standard drinks with the Ambiano Milk Heater & Frother. No matter your drink preference, this helpful tool is equipped to deal with your customised tastes. The froth functionality can be used to create both warm or cold froth to suit your desired drink. Plus, with its non-stick coating, cleaning in time for your next brew is effortless. 


Features


360° Cordless jugNon-stick coating for easy cleaningAnti-leakage systemHeats milk up to 60-70°C (approx.)Maximum level markingCan be used to froth cold milkSTRIX 360° base3 FunctionsAutomatic switch off


Guarantee/Warranty

                    
                            3 Years",https://www.aldi.co.uk/ambiano-milk-heater-%26-frother/p/712583561222901
Sewing Machine,Sewing Machine,DE&#039;LONGHI,aldi-uk,8004399324619,De&#039;Longhi Caffe Corso Coffee Machine,De & # 039; Longhi Caffe Corso Coffee Machine,https://cdn.aldi-digital.co.uk//De&#039;longhi-Bean-To-Cup-A.jpg?o=tnWhcqmGC%24zonKqhBzR%40JsxFduoj&amp;V=RY4s,289.99,289.99,GBP,,,"


Product Information
                
            
















Treat your tastebuds with the De'Longhi Bean To Cup Coffee Machine. Enjoy delicious, intense and aromatic coffee at the touch of a button. The 15 bar pressure and thermoblock heating technology help to create the optimum climate for scrumptious coffee. Taste detailed notes and take your coffee game to new heights with this premium coffee machine. It features an integrated coffee bean grinder, milk frother and removable 1.8L water tank.




Brand:

                        
                            De'Longhi
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            Water tank: 1.8L (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            28.5 x 37.5 x 36cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Coffee Machines
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            1450W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Weight:

                        
                            10kg (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Features


Enjoy delicious, intense, aromatic coffee15 Bar pressure featureThermoblock heating technologyIntegrated coffee bean grinderMilk frotherRemovable water tank200g Coffee container capacityDe'Longhi ESAM2600Integrated milk frother


Guarantee/Warranty

                    
                            1 Year
                        
                    
                        
                        
                            
                            
                        
                    
                


","Product Information
                
            
















Treat your tastebuds with the De'Longhi Bean To Cup Coffee Machine. Enjoy delicious, intense and aromatic coffee at the touch of a button. The 15 bar pressure and thermoblock heating technology help to create the optimum climate for scrumptious coffee. Taste detailed notes and take your coffee game to new heights with this premium coffee machine. It features an integrated coffee bean grinder, milk frother and removable 1.8L water tank.




Brand:

                        
                            De'Longhi
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            Water tank: 1.8L (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            28.5 x 37.5 x 36cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Coffee Machines
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            1450W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Weight:

                        
                            10kg (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Features


Enjoy delicious, intense, aromatic coffee15 Bar pressure featureThermoblock heating technologyIntegrated coffee bean grinderMilk frotherRemovable water tank200g Coffee container capacityDe'Longhi ESAM2600Integrated milk frother


Guarantee/Warranty

                    
                            1 Year",https://www.aldi.co.uk/de%27longhi-caffe-corso-coffee-machine/p/717463541049400
Heatable towel rail,Heatable towel rail,KIRKTON HOUSE,aldi-uk,4088600443645,Polar Bear Christmas Baby Sleep Bag,Polar Bear Christmas Baby Sleep Bag,https://cdn.aldi-digital.co.uk//Polar-Bear-Christmas-Baby-Sleep-Bag-A.jpg?o=wdt5ohfbPDwBMPJMycx6Ztw8ra0j&amp;V=sVdv,9.99,9.99,GBP,,,"


Product Information
                
            


















Brand:

                        
                            Kirkton House
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Design:

                        
                            Polar bear
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Iron:

                        
                            Yes
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Machine Washable:

                        
                            Yes
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Material:

                        
                            Front/Lining: 100% Cotton, Filling: 100% Polyester
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Baby Bedding
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Tog:

                        
                            2.5
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Tumble Dry:

                        
                            Yes
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Washing Temperature:

                        
                            40°C
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Keep their tiny toes warm with the help of this Polar Bear Christmas Baby Sleep Bag by Kirkton House. With a 2.5 tog, this sleep bag will keep your little one toasty and snug as the weather starts to get colder. The cotton lining will be soft on their skin while the polyester filling provides the perfect insulation. Spread some festive joy around your home by tucking your baby into this festive sleep bag.


Features


Cute festive designPerfect for winter monthsKeeps baby warm and cosyZipper up the sidePoppers at shouldersMachine washable


Safety Warning

                    
                            Keep away from fire
                        
                    
                        
                        
                            
                            
                        
                    
                
Suitable For

                    
                            Use all year round
                        
                    
                        
                        
                            
                            
                        
                    
                


","Product Information
                
            


















Brand:

                        
                            Kirkton House
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Design:

                        
                            Polar bear
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Iron:

                        
                            Yes
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Machine Washable:

                        
                            Yes
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Material:

                        
                            Front/Lining: 100% Cotton, Filling: 100% Polyester
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Baby Bedding
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Tog:

                        
                            2.5
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Tumble Dry:

                        
                            Yes
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Washing Temperature:

                        
                            40°C
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Keep their tiny toes warm with the help of this Polar Bear Christmas Baby Sleep Bag by Kirkton House. With a 2.5 tog, this sleep bag will keep your little one toasty and snug as the weather starts to get colder. The cotton lining will be soft on their skin while the polyester filling provides the perfect insulation. Spread some festive joy around your home by tucking your baby into this festive sleep bag.


Features


Cute festive designPerfect for winter monthsKeeps baby warm and cosyZipper up the sidePoppers at shouldersMachine washable


Safety Warning

                    
                            Keep away from fire
                        
                    
                        
                        
                            
                            
                        
                    
                
Suitable For

                    
                            Use all year round",https://www.aldi.co.uk/polar-bear-christmas-baby-sleep-bag/p/715715563786803
Sewing Machine,Sewing Machine,AMBIANO,aldi-uk,4088600420080,Ambiano Electric Pasta Machine,Ambiano Electric Pasta Machine,https://cdn.aldi-digital.co.uk//Ambiano-Electric-Pasta-Machine-A.jpg?o=R0ZoXhOR0ny8HLdsIV5sOlvvYuAj&amp;V=wUww,49.99,49.99,GBP,2.30769992,13,"


Product Information
                
            


















Brand:

                        
                            Ambiano
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Cable Length:

                        
                            1m (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            360g (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            30 x 29 x18cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Material:

                        
                            PC, ABS, VDE
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Small Cooking Appliances
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Have you always wanted to make homemade pasta? Well now you can quickly and easily with the help of the Ambiano Electric Pasta Machine. This fun machine allows you to make 7 different shaped pasta with its interchangeable head. This kitchen essential has dishwasher safe parts and is easy to clean.


Features


Takes 5 minutes (approx.) to make pasta7 different shape options to choose fromDishwasher safe partsEasy to clean


Guarantee/Warranty

                    
                            3 Years
                        
                    
                        
                        
                            
                            
                        
                    
                


","Product Information
                
            


















Brand:

                        
                            Ambiano
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Cable Length:

                        
                            1m (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Capacity:

                        
                            360g (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            30 x 29 x18cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Material:

                        
                            PC, ABS, VDE
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Small Cooking Appliances
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Have you always wanted to make homemade pasta? Well now you can quickly and easily with the help of the Ambiano Electric Pasta Machine. This fun machine allows you to make 7 different shaped pasta with its interchangeable head. This kitchen essential has dishwasher safe parts and is easy to clean.


Features


Takes 5 minutes (approx.) to make pasta7 different shape options to choose fromDishwasher safe partsEasy to clean


Guarantee/Warranty

                    
                            3 Years",https://www.aldi.co.uk/ambiano-electric-pasta-machine/p/714102538428400
Vacuum Cleaner,Vacuum Cleaner,AMBIANO,aldi-uk,4061461593445,Ambiano Vacuum Food Sealer,Ambiano Vacuum Food Sealer,https://cdn.aldi-digital.co.uk//Ambiano-Vacuum-Food-Sealer-A.jpg?o=Y1tG5czTPbcifULyZJ52FzPw4VQj&amp;V=zbNW,19.99,19.99,GBP,3.0,2,"


Product Information
                
            


















Brand:

                        
                            Ambiano
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Cable Length:

                        
                            1.2m (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            39 x 16 x 8.2cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Material:

                        
                            ABS
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Food Protection
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            90W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Bring new and exciting appliances into your kitchen like this Ambiano Vacuum Food Sealer. Perfect for using for temperature-controlled or vacuum-sealed cooking this seals your food without crushing it and helps keep food fresher for longer. Coming with five sealing bags, the food sealer helps you seal in food's flavour, texture and moisture, for delicious meals, every time. A great way to store leftovers, this is also ideal for sous-vide cooking.


Accessories Included


5 x Sealing bags1 x Vacuum foil roll2 x Gaskets for vacuum chamber1 Gasket for welding wire


Features


Keep your food fresh for longerIntegrated chamber for waterBuilt-in cutting device to cut the sealing pouchesSingle seam weldingVacuum power: 4.5 L / Min. (approx.)Automatic temperature controlCable winding on bottom of the unitVacuum pressure: 0.6 bar (approx.)Soft-vacuuming: 0.2 bar (approx.)Entry width: 30cm (approx.)Overheating protectionNormal vacuum, soft vacuum, sealing and stop fuctionsSuitable for foils up to 0.1 - 0.2mm thickness (approx.)LED lighting




","Product Information
                
            


















Brand:

                        
                            Ambiano
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Cable Length:

                        
                            1.2m (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Corded/Cordless:

                        
                            Corded
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Dimensions:

                        
                            39 x 16 x 8.2cm (approx.)
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Material:

                        
                            ABS
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Product Type:

                        
                            Food Protection
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Voltage:

                        
                            220-240V
                            
                                
                                
                                    
                                    
                                
                            
                        
                    


Wattage:

                        
                            90W
                            
                                
                                
                                    
                                    
                                
                            
                        
                    




Bring new and exciting appliances into your kitchen like this Ambiano Vacuum Food Sealer. Perfect for using for temperature-controlled or vacuum-sealed cooking this seals your food without crushing it and helps keep food fresher for longer. Coming with five sealing bags, the food sealer helps you seal in food's flavour, texture and moisture, for delicious meals, every time. A great way to store leftovers, this is also ideal for sous-vide cooking.


Accessories Included


5 x Sealing bags1 x Vacuum foil roll2 x Gaskets for vacuum chamber1 Gasket for welding wire


Features


Keep your food fresh for longerIntegrated chamber for waterBuilt-in cutting device to cut the sealing pouchesSingle seam weldingVacuum power: 4.5 L / Min. (approx.)Automatic temperature controlCable winding on bottom of the unitVacuum pressure: 0.6 bar (approx.)Soft-vacuuming: 0.2 bar (approx.)Entry width: 30cm (approx.)Overheating protectionNormal vacuum, soft vacuum, sealing and stop fuctionsSuitable for foils up to 0.1 - 0.2mm thickness (approx.)LED lighting",https://www.aldi.co.uk/ambiano-vacuum-food-sealer/p/809218556439000
