Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Features,Features (english),Product link
Nettoyeur à vapeur,Steam Cleaner ,TRISTAR,carrefour,8713016072511,Tristar Sr-5261 Nettoyeur A Vapeur 1500w-pour Les Sols Durs Et Les Tap TRISTAR,Tristar Sr-5261 Steam Cleaner 1500w-for Hard Floors And Taps TRISTAR,https://www.carrefour.frhttps://media.carrefour.fr/medias/d22f085a5e2436fc880566f8afdababc/p_540x540/83d33627ec79453aa4ec72a9ca7a1c14-image.jpg,68.92,68.92,EUR,"
Description
TRISTER SR-5261 Nettoyeur a vapeur 1500W-Pour les sols durs et les tapis-Tube amovible-1 bar-Vapeur réglable-Arret automatique en cas de fonctionnement a sec-Réservoir a eau amovible-Verre doseur-7 brosses de nettoyage-Poignée détachable-Cordon d'alimentation 5 m
","Description
TRISTER SR-5261 Steam cleaner 1500W-For hard floors and carpets-Removable tube-1 bar-Adjustable steam-Automatic shut-off in case of dry running-Removable water tank-Measuring cup-7 cleaning brushes-Detachable handle -Power cord 5 m",https://www.carrefour.fr/p/tristar-sr-5261-nettoyeur-a-vapeur-1500w-pour-les-sols-durs-et-les-tap-8713016072511?s=2419
Nettoyeur à vapeur,Steam Cleaner ,TRISTAR,carrefour,8713016072511,Tristar Sr-5261 Nettoyeur A Vapeur 1500w-pour Les Sols Durs Et Les Tap TRISTAR,Tristar Sr-5261 Steam Cleaner 1500w-for Hard Floors And Taps TRISTAR,https://www.carrefour.frhttps://media.carrefour.fr/medias/d22f085a5e2436fc880566f8afdababc/p_540x540/83d33627ec79453aa4ec72a9ca7a1c14-image.jpg,81.2,81.2,EUR,"
Description
TRISTER SR-5261 Nettoyeur a vapeur 1500W-Pour les sols durs et les tapis-Tube amovible-1 bar-Vapeur réglable-Arret automatique en cas de fonctionnement a sec-Réservoir a eau amovible-Verre doseur-7 brosses de nettoyage-Poignée détachable-Cordon d'alimentation 5 m
","Description
TRISTER SR-5261 Steam cleaner 1500W-For hard floors and carpets-Removable tube-1 bar-Adjustable steam-Automatic shut-off in case of dry running-Removable water tank-Measuring cup-7 cleaning brushes-Detachable handle -Power cord 5 m",https://www.carrefour.fr/p/tristar-sr-5261-nettoyeur-a-vapeur-1500w-pour-les-sols-durs-et-les-tap-8713016072511?s=2415
Brosse à dents électrique,Electric toothbrush,PHILIPS,carrefour,8710103864110,Brosse à dents électrique Sonicare-HX6807/14-Blanc/Menthe PHILIPS,Sonicare-HX6807 / 14-White / Mint Electric Toothbrush PHILIPS,https://www.carrefour.fr/media/1500x1500/Photosite/EPCS/PEM/8710103864110_PHOTOSITE_20210521_171139_0.jpg?placeholder=1,69.99,69.99,EUR,,,https://www.carrefour.fr/p/brosse-a-dents-electrique-sonicare-hx6807-14-blanc-menthe-philips-8710103864110
Refroidisseur d'air portatif,Portable Air Cooler,LIVOO,carrefour,3523930095566,Brasseur D'air 100w 45cm 3 Vitesses Noir LIVOO,Air Fan 100w 45cm 3 Speeds Black LIVOO,https://www.carrefour.frhttps://media.carrefour.fr/medias/ef576b3abeae3081875f568ab5c4978c/p_540x540/bd67f1cdee7443d28207524632230ef6-image.jpg,57.19,99,EUR,"
Description
dom271n - livoo - Le brasseur d'air DOM271N de Livoo est idéal pour ventiler de grands espaces. Il dispose de 3 vitesses pour convenir à chaque situation. - Brasseur d'airPuissance : 100 WDiamètre : 45 cm3 vitesses, inclinaison verticale jusqu'à 120°Nombre de tour / minute : 1250 à vitesse 3Grille de protectionMoteur silencieux3 pales en aluminiumMatière : métalDimensions : 55 x 22 x 55 cmPoids : 5.06 kgCouleur : noir
","Description
dom271n - livoo - The DOM271N ventilator from Livoo is ideal for ventilating large spaces. It has 3 speeds to suit every situation. - Fan Power: 100 W Diameter: 45 cm 3 speeds, vertical tilt up to 120 ° Number of revolutions / minute: 1250 at speed 3 Protective grid Silent motor 3 aluminum blades Material: metal Dimensions: 55 x 22 x 55 cm Weight: 5.06 kg Color: black",https://www.carrefour.fr/p/brasseur-d-air-100w-45cm-3-vitesses-noir-3523930095566?s=2155
Brosse à dents électrique,Electric toothbrush,BRAUN,carrefour,4210201247142,Oral-b Genius X 20000n Brosse A Dents Electrique - Blanc BRAUN,Oral-b Genius X 20000n Electric Toothbrush - White BRAUN,https://www.carrefour.frhttps://media.carrefour.fr/medias/5fda6f89e4043c4199be56e41ef8d02e/p_540x540/d5b68e0015ac416abae94da744122f92-image.jpg,253.18,304.9,EUR,"
Description
La brosse a dents Oral-B Genius X 20000N est équipée de capteurs de mouvements et de l'intelligence artificielle permettant de reconnaître votre style de brossage et de vous guider pour obtenir les meilleurs résultats possibles au quotidien. Il est désormais plus facile que jamais de se brosser les dents comme votre dentiste le recommande, afin d'obtenir un nettoyage supérieur et des gencives plus saines. Cette bross
","Description
The Oral-B Genius X 20000N toothbrush is equipped with motion sensors and artificial intelligence to recognize your brushing style and guide you to achieve the best possible results every day. Now it's easier than ever to brush your teeth as your dentist recommends, for superior cleaning and healthier gums. This brush",https://www.carrefour.fr/p/oral-b-genius-x-20000n-brosse-a-dents-electrique-blanc-4210201247142?s=2399
Brosse à dents électrique,Electric toothbrush,PHILIPS,carrefour,8710103894209,Brosse à dents électrique Sonicare DailyClean 2300 - HX3212/65 - Blanc/Bleu nuit,Sonicare DailyClean 2300 electric toothbrush - HX3212 / 65 - White / Midnight blue,https://www.carrefour.frhttps://media.carrefour.fr/medias/586c957c93153294a7c0145211e8aac9/p_540x540/9493104754718.jpg,25.99,25.99,EUR,,,https://www.carrefour.fr/p/brosse-a-dents-electrique-sonicare-dailyclean-2300-hx3212-65-blanc-bleu-nuit-8710103894209
Refroidisseur d'air portatif,Portable Air Cooler,TRISTAR,carrefour,8713016059338,Brasseur D'air 30cm 55w 3 Vitesses TRISTAR,Fan 30cm 55w 3 Speed ​​TRISTAR,https://www.carrefour.frhttps://media.carrefour.fr/medias/9c153ef0ae493aa4a650300a31826d9f/p_540x540/fed75cb2f9d44b6898ecca8d81d91077-image.jpg,49.9,53.99,EUR,"
Description
ve-5933 - tristar - Avec ses 3 positions réglables, le ventilateur sur pied VE5933 de TRISTAR d'un diamètre de 30 cm s'adapte à tous les utilisateurs - Puissance : 55 WattsVoltage : 220-240 VoltsDiamètre ventilateur: 30 cmPositions réglables : 3Vitesse : 900-1100-1300 rpmFlux d'air : 2338 m³/heureNiveau sonore : 59,0 dBAngle réglable : 130 °Protection contre la surchauffePoids : 3 kg
","Description
ve-5933 - tristar - With its 3 adjustable positions, the VE5933 pedestal fan from TRISTAR with a diameter of 30 cm adapts to all users - Power: 55 Watts Voltage: 220-240 Volts Fan diameter: 30 cm Adjustable positions: 3 Speed Speed: 900-1100-1300 rpm Air flow: 2338 m³ / hour Sound level: 59.0 dB Adjustable angle: 130 ° Overheating protection Weight: 3 kg",https://www.carrefour.fr/p/brasseur-d-air-30cm-55w-3-vitesses-8713016059338?s=2155
Machine à coudre,Sewing Machine,TRISTAR,carrefour,8713016060006,Machine À Coudre Tristar Sm 6000 TRISTAR,Sewingmachine Tristar Sm 6000 TRISTAR,https://www.carrefour.frhttps://media.carrefour.fr/medias/a7672aa834133d039985605d0db7f7b9/p_540x540/d15c5aab7ac643b3ab6f3b6d2fedf130-image.jpg,77.6,99.99,EUR,"
Description
Accessoire(s) inclus : Double aiguille, enfileur, 4 bobinesBoutonnière : N/CBras libre : OuiCouleur : BlancDivers : Coupe-fil, double aiguille, système de rembobinage, pédaleEclairage : OuiMarche arrière : OuiNbre de modèle(s) de point(s) : N/CNbre de programme(s) : 10Puissance (W) : N/CRéglage largeur de point : N/CType : Machine à coudreType de machine : Mécanique
","Description
Accessory (s) included: Double needle, threader, 4 spools Buttonhole: N / C Free arm: Yes Color: White Miscellaneous: Thread cutter, double needle, rewinding system, pedal Lighting: Yes Reverse: Yes Number of stitch pattern (s) : N / C Program tree (s): 10 Power (W): N / C Stitch width setting: N / C Type: Sewing machine Machine type: Mechanical",https://www.carrefour.fr/p/machine-a-coudre-tristar-sm-6000-8713016060006?s=2155
Refroidisseur d'air portatif,Portable Air Cooler,DELONGHI,carrefour,8004399481039,Delonghi Deshumidificateur D Air Dns 80 DELONGHI,Delonghi Deshumidificateur D Air Dns 80 DELONGHI,https://www.carrefour.frhttps://media.carrefour.fr/medias/158ebd7332273ee591ee2faf6e098f39/p_540x540/0fee87f348674846ac621060003efe90-image.jpg,320,329.99,EUR,"
Description
DELONGHI Déshumidificateur d'air DNS 80 .
","Description
DELONGHI DNS 80 air dehumidifier.",https://www.carrefour.fr/p/delonghi-deshumidificateur-d-air-dns-80-8004399481039?s=2155
Refroidisseur d'air portatif,Portable Air Cooler,BESTRON,carrefour,8712184013661,Brasseur D'air 45cm 100w BESTRON,Brasseur D'air 45cm 100w BESTRON,https://www.carrefour.frhttps://media.carrefour.fr/medias/b01518542b5731469f532a22ffe00472/p_540x540/e37324d3b3f74e41ae5dcfbd29a2dde1-image.jpg,50.21,79.9,EUR,"
Description
dfa40 - bestron -  - Puissance : 100 WDiamètre : 45 cm Déplace 100% plus d’air que les ventilateurs standardsVentilateur réglable verticalementInterrupteur de vitesses: 0-1-2-3Pieds antidérapantsCouleur : Chrome
","Description
dfa40 - bestron - - Power: 100 W Diameter: 45 cm Moves 100% more air than standard fans Vertically adjustable fan Speed ​​switch: 0-1-2-3 Non-slip feet Color: Chrome",https://www.carrefour.fr/p/brasseur-d-air-45cm-100w-8712184013661?s=2155
