Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Steam Brush  ,Steam Brush  ,BLACK+DECKER,homedepot,0885911490702,5-in-1 Steam Mop and Portable Steamer with Squeegee and (3) Brushes,5-in-1 Steam Mop and Portable Steamer with Squeegee and (3) Brushes,https://images.thdstatic.com/productImages/273e9d22-0749-4c6e-a86e-01cf4b5fb3b5/svn/black-decker-steam-mops-hsmc1321-64_100.jpg,139.99,,USD,5.0,4,"Eliminate tough dirt and grime with the cleaning power of steam. A versatile 5-in-1 design lets you switch from mop to a handheld and back for sealed surfaces all over your home. Kills up to 99% of germs just using water and the microfiber pad, leaving your home sparkling.","Eliminate tough dirt and grime with the cleaning power of steam. A versatile 5-in-1 design lets you switch from mop to a handheld and back for sealed surfaces all over your home. Kills up to 99% of germs just using water and the microfiber pad, leaving your home sparkling.",https://www.homedepot.com/p/BLACK-DECKER-5-in-1-Steam-Mop-and-Portable-Steamer-with-Squeegee-and-3-Brushes-HSMC1321/315653818
Steam Brush  ,Steam Brush  ,Cuisinart,homedepot,0817096016002,Steam Cleaner Grill Brush,Steam Cleaner Grill Brush,https://images.thdstatic.com/productImages/7eef08fe-9f04-586a-a205-c43ce52816b9/svn/cuisinart-grill-brushes-csbs-777-64_100.jpg,29.39,,USD,4.8,5,Give your grill the deep steam cleaning it needs with the Cuisinart Steam Cleaner grill brush. Cleaning your grill grates with steam is an extremely effective way to break up tough grease and grime. Simply pop open the top of the handle to fill the water reservoir. Use the control knob on the back of the brush head to regulate the water flow as you clean the grates. Simply turn the knob to the off position to stop the flow of water. The stainless steel scraper on the tip of the brush head is an excellent tool for releasing stubborn residue and providing a truly deep clean.,Give your grill the deep steam cleaning it needs with the Cuisinart Steam Cleaner grill brush. Cleaning your grill grates with steam is an extremely effective way to break up tough grease and grime. Simply pop open the top of the handle to fill the water reservoir. Use the control knob on the back of the brush head to regulate the water flow as you clean the grates. Simply turn the knob to the off position to stop the flow of water. The stainless steel scraper on the tip of the brush head is an excellent tool for releasing stubborn residue and providing a truly deep clean.,https://www.homedepot.com/p/Cuisinart-Steam-Cleaner-Grill-Brush-CSBS-777/318085325
Electric Blackhead Remover,Electric Blackhead Remover,Bosch,homedepot,0000346509540,14 Gallon Corded Wet/Dry Dust Extractor Vacuum with Automatic Filter Clean and HEPA Filter,14 Gallon Corded Wet/Dry Dust Extractor Vacuum with Automatic Filter Clean and HEPA Filter,https://images.thdstatic.com/productImages/cb84fc16-dd98-4480-804b-91a9126da77e/svn/blues-bosch-wet-dry-vacuums-vac140ah-64_100.jpg,699,,USD,4.2286,35,"The Bosch VAC140AH 14-Gallon Dust Extractor with Auto Filter Clean and HEPA Filter provides a complete package that is designed to help users move toward compliance with the OSHA silica dust regulation. The dust extractor delivers a maximum 150-cubic-feet-of-air-per-minute rate (CFM), with a sustainable 97 in. static water lift (maximum). The automatic on-board filter-cleaning system activates every 15 seconds to help maintain maximum suction power. The included HEPA filter captures 99.97% of particles at 0.3 microns and larger. The included fleece filter bag helps to protect the filter and provides the optimal containment of dry dust and debris. The dust extractor also has power tool activation that allows the tool to activate the vac and a Power Broker dial to match the suction force to application.","The Bosch VAC140AH 14-Gallon Dust Extractor with Auto Filter Clean and HEPA Filter provides a complete package that is designed to help users move toward compliance with the OSHA silica dust regulation. The dust extractor delivers a maximum 150-cubic-feet-of-air-per-minute rate (CFM), with a sustainable 97 in. static water lift (maximum). The automatic on-board filter-cleaning system activates every 15 seconds to help maintain maximum suction power. The included HEPA filter captures 99.97% of particles at 0.3 microns and larger. The included fleece filter bag helps to protect the filter and provides the optimal containment of dry dust and debris. The dust extractor also has power tool activation that allows the tool to activate the vac and a Power Broker dial to match the suction force to application.",https://www.homedepot.com/p/Bosch-14-Gallon-Corded-Wet-Dry-Dust-Extractor-Vacuum-with-Automatic-Filter-Clean-and-HEPA-Filter-VAC140AH/303323421
Electric Blackhead Remover,Electric Blackhead Remover,Samsung,homedepot,0887276409054,6.3 cu. ft. Slide-In Electric Range with Air Fry Convection Oven in Fingerprint Resistant Stainless Steel,6.3 cu. ft. Slide-In Electric Range with Air Fry Convection Oven in Fingerprint Resistant Stainless Steel,https://images.thdstatic.com/productImages/f76585fd-132d-470b-aa21-42aedf6cfbd9/svn/stainless-steel-samsung-single-oven-electric-ranges-ne63t8511ss-64_100.jpg,1199,1699,USD,4.5739,575,The Samsung 30 in. 6.3 cu. ft. Slide-In Electric Range with Air Fry technology creates healthier and delicious meals with the touch of a button which includes an Air Fry rack directly in the oven. Our Self-Cleaning Dual Convection Oven offers Dual Convection which distributes heat throughout the oven for faster and more even cooking. Upgrade any kitchen with a slide-in design that blends seamlessly into your cabinetry to give your kitchen a high-end look. Five elements with double elements ensures you have the flexibility to cook multiple dishes using different-sized pans simultaneously.,The Samsung 30 in. 6.3 cu. ft. Slide-In Electric Range with Air Fry technology creates healthier and delicious meals with the touch of a button which includes an Air Fry rack directly in the oven. Our Self-Cleaning Dual Convection Oven offers Dual Convection which distributes heat throughout the oven for faster and more even cooking. Upgrade any kitchen with a slide-in design that blends seamlessly into your cabinetry to give your kitchen a high-end look. Five elements with double elements ensures you have the flexibility to cook multiple dishes using different-sized pans simultaneously.,https://www.homedepot.com/p/Samsung-6-3-cu-ft-Slide-In-Electric-Range-with-Air-Fry-Convection-Oven-in-Fingerprint-Resistant-Stainless-Steel-NE63T8511SS/313871700
Air Purifier,Air Purifier,Dyson,homedepot,0885609021744,"Air Purifier Cool with HEPA Filter, TP07","Air Purifier Cool with HEPA Filter, TP07",https://images.thdstatic.com/productImages/69f67ba2-1d0c-4df1-a9f0-dc26d2c33f5e/svn/metallics-dyson-air-purifiers-369803-01-64_100.jpg,549.99,,USD,4.4474,38,"Dyson's latest purifiers combine intelligent sensing with an advanced filtration system. Two phases of purification sit within our fully sealed filtration and airflow system. So, what goes inside, stays inside. An activated carbon filter removes gases and odors and a HEPA filter captures 99.97% of particles 0.3 microns in size. Then powerful Air Multiplier technology purifies the whole room and cools you.²","Dyson's latest purifiers combine intelligent sensing with an advanced filtration system. Two phases of purification sit within our fully sealed filtration and airflow system. So, what goes inside, stays inside. An activated carbon filter removes gases and odors and a HEPA filter captures 99.97% of particles 0.3 microns in size. Then powerful Air Multiplier technology purifies the whole room and cools you.²",https://www.homedepot.com/p/Dyson-Air-Purifier-Cool-with-HEPA-Filter-TP07-369803-01/316120658
Air Purifier,Air Purifier,Dyson,homedepot,0885609010250,"Pure Cool, Air Purifier + Fan with HEPA filter, TP01","Pure Cool, Air Purifier + Fan with HEPA filter, TP01",https://images.thdstatic.com/productImages/742aa0a7-4cc0-452f-b6c9-837534e7c139/svn/whites-dyson-air-purifiers-308247-01-64_100.jpg,399,,USD,4.2222,117,"Purifies all year round. Cools you when you need it. Fully sealed HEPA and activated carbon filter captures 99.97% of allergens and pollutants, including pollen, bacteria and pet dander. Air Multiplier technology amplifies surrounding air, giving an uninterrupted stream of smooth, yet powerful purified airflow. Oscillates to project and circulate purified air across the room.","Purifies all year round. Cools you when you need it. Fully sealed HEPA and activated carbon filter captures 99.97% of allergens and pollutants, including pollen, bacteria and pet dander. Air Multiplier technology amplifies surrounding air, giving an uninterrupted stream of smooth, yet powerful purified airflow. Oscillates to project and circulate purified air across the room.",https://www.homedepot.com/p/Dyson-Pure-Cool-Air-Purifier-Fan-with-HEPA-filter-TP01-308247-01/308695886
Electric Blackhead Remover,Electric Blackhead Remover,Electrolux,homedepot,0012505387296,"4.4 cu. ft. Front Load Washer with SmartBoost Technology Steam in Titanium, ENERGY STAR","4.4 cu. ft. Front Load Washer with SmartBoost Technology Steam in Titanium, ENERGY STAR",https://images.thdstatic.com/productImages/33f3fae0-9627-49c9-8ee4-fdea7724ede3/svn/titanium-electrolux-front-load-washers-efls627utt-64_100.jpg,1124,1249,USD,4.7038,5513,"The Electrolux Front-Load washer machine with the exclusive SmartBoost technology provides the most effective stain removal by premixes water and detergent before the cycle begins, maximizing the cleaning power of the detergent. It features the industry's first Adaptive Dispenser that accepts detergent packs to give you the flexibility to clean with all detergent types for a thorough clean. Unlike many washers, our Perfect Steam rises from the bottom, gently lifting dirt and stains from fibers. The 15-Minute Fast Wash quickly deep cleans your items you need most.","The Electrolux Front-Load washer machine with the exclusive SmartBoost technology provides the most effective stain removal by premixes water and detergent before the cycle begins, maximizing the cleaning power of the detergent. It features the industry's first Adaptive Dispenser that accepts detergent packs to give you the flexibility to clean with all detergent types for a thorough clean. Unlike many washers, our Perfect Steam rises from the bottom, gently lifting dirt and stains from fibers. The 15-Minute Fast Wash quickly deep cleans your items you need most.",https://www.homedepot.com/p/Electrolux-4-4-cu-ft-Front-Load-Washer-with-SmartBoost-Technology-Steam-in-Titanium-ENERGY-STAR-EFLS627UTT/304682351
Electric Blackhead Remover,Electric Blackhead Remover,BLACK+DECKER,homedepot,0027043992833,36 in. Black Stainless Steel Non-Stick Indoor Grill,36 in. Black Stainless Steel Non-Stick Indoor Grill,https://images.thdstatic.com/productImages/a130177e-5f24-46a2-a0d5-e8dbcf721110/svn/black-black-decker-indoor-grills-gr0040b-64_100.jpg,21.36,,USD,3.2857,7,"The kitchen appliance changed the grilling game forever. The George Foreman 2-Serving Classic Plate Electric Indoor Grill and Panini Press delivers fast grilling and delicious results for steak, burgers, chicken, veggies, and more. The patented sloped surface helps remove fat during cooking, and the George Tough nonstick coating wipes clean after every use. The compact grills dual contact heating speeds up grilling to get food on the table in record time. What will you make on your George Foreman Grill.","The kitchen appliance changed the grilling game forever. The George Foreman 2-Serving Classic Plate Electric Indoor Grill and Panini Press delivers fast grilling and delicious results for steak, burgers, chicken, veggies, and more. The patented sloped surface helps remove fat during cooking, and the George Tough nonstick coating wipes clean after every use. The compact grills dual contact heating speeds up grilling to get food on the table in record time. What will you make on your George Foreman Grill.",https://www.homedepot.com/p/BLACK-DECKER-36-in-Black-Stainless-Steel-Non-Stick-Indoor-Grill-GR0040B/303011223
Steam Iron ,Steam Iron ,BLACK+DECKER,homedepot,0050875816398,Vitessa Advanced Steam Iron with Dual-Position,Vitessa Advanced Steam Iron with Dual-Position,https://images.thdstatic.com/productImages/ec91e137-c72a-4d95-a5b8-f96600deeccf/svn/red-black-decker-irons-ir2050-64_100.jpg,32.55,,USD,4.5862,29,"BLACK+DECKER, the #1 brand in clothes irons, is streamlining garment care with the Vitessa Nonstick Advanced Steam Iron. The Even Steam soleplate is engineered to produce more consistent steam flow from heel to tip for fast, professional results. SmartSteam Technology combines steam and temperature controls into one easy-to-use dial. Plus, this electric iron delivers powerful bursts of steam to aggressively take out wrinkles and can even be used vertically to quickly touch-up clothes right on the hanger or curtains and drapes. Source: NPD POS, data as of November 2016. vs BLACK+DECKER IR08x standard iron with standard soleplate.","BLACK+DECKER, the #1 brand in clothes irons, is streamlining garment care with the Vitessa Nonstick Advanced Steam Iron. The Even Steam soleplate is engineered to produce more consistent steam flow from heel to tip for fast, professional results. SmartSteam Technology combines steam and temperature controls into one easy-to-use dial. Plus, this electric iron delivers powerful bursts of steam to aggressively take out wrinkles and can even be used vertically to quickly touch-up clothes right on the hanger or curtains and drapes. Source: NPD POS, data as of November 2016. vs BLACK+DECKER IR08x standard iron with standard soleplate.",https://www.homedepot.com/p/BLACK-DECKER-Vitessa-Advanced-Steam-Iron-with-Dual-Position-IR2050/308899004
Steam Iron ,Steam Iron ,Hamilton Beach,homedepot,0040094140107,Elite Steam Iron,Elite Steam Iron,https://images.thdstatic.com/productImages/db5adae0-e55c-45c3-881e-3504b720587a/svn/white-hamilton-beach-irons-14010-64_100.jpg,28.99,,USD,4.8889,9,"From everyday ironing to the unique requirements of quilters, sewers, and crafters, Hamilton Beach Irons are indispensable. Whether you're ironing a shirt for the office or putting the final touch on a creative project, you'll find the perfect iron for every job right here. Hamilton Beach has produced superior ironing performance since 1929. Our modern Hamilton Beach Auto Shut-Off Irons build on this legacy of quality. The 3-way auto shut off means the iron will turn off after 15 minutes if left in the upright position or after 30 seconds if left on its soleplate or on its side. Highly affordable and practical, you will always be able to count on an auto shut-off iron from Hamilton Beach to make you look your best.","From everyday ironing to the unique requirements of quilters, sewers, and crafters, Hamilton Beach Irons are indispensable. Whether you're ironing a shirt for the office or putting the final touch on a creative project, you'll find the perfect iron for every job right here. Hamilton Beach has produced superior ironing performance since 1929. Our modern Hamilton Beach Auto Shut-Off Irons build on this legacy of quality. The 3-way auto shut off means the iron will turn off after 15 minutes if left in the upright position or after 30 seconds if left on its soleplate or on its side. Highly affordable and practical, you will always be able to count on an auto shut-off iron from Hamilton Beach to make you look your best.",https://www.homedepot.com/p/Hamilton-Beach-Elite-Steam-Iron-14010/204170787
