Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link,Created at
Dampfreiniger,Steam Cleaner ,SILVERCREST,lidlde,100327255,SILVERCREST® Dampfmopp SDM 1500 D2,SILVERCREST® Dampfmopp SDM 1500 D2,https://www.lidl.de/media/d8c2ea1d1218d31f95d0a6c00b97c79d.jpeg,39.99,39.99,EUR,4.3,252," 
SILVERCREST® Dampfmopp »SDM 1500 D2«
 
Eigenschaften
 
 
Für eine hygienische Reinigung - ohne Chemie
 
Wirkt hypoallergen – bekämpft Hausstaubmilben
 
2 Dampfstoßstärken: für empfindliche Böden (z. B. Parkett, Laminat) und unempfindliche Böden (z. B. Fliesen)
 
Dampfbereit in nur 25 Sekunden
 
Platzsparend verstaubar durch einklappbaren Griff
 
Inkl. Teppichgleiter und 2 waschbaren Mikrofasertüchern (1 blaues Tuch für empfindliche Böden z. B. Parkett, Laminat, 1 weißes Tuch für z. B. Fliesen)
 
 
 
 
Technische Daten
 
 
Leistung: 1.630 W
 
Wassertankkapazität: 500 ml
 
Betriebsdauer pro Tankfüllung: ca. 14 Minuten
 
Kabellänge: ca. 8 m
 
Schutzklasse: IPX4
 
 
 
 
Maße
 
ca. 28 x 29,7 x 125 cm
 
 
 
Gewicht
 
ca. 2.800 g
 ","SILVERCREST® steam mop »SDM 1500 D2«
 
properties
 
 
For hygienic cleaning - without chemicals
 
Has a hypoallergenic effect - combats dust mites
 
2 bursts of steam: for sensitive floors (e.g. parquet, laminate) and insensitive floors (e.g. tiles)
 
Ready to steam in just 25 seconds
 
Can be stowed away to save space thanks to the foldable handle
 
Incl. Carpet gliders and 2 washable microfiber cloths (1 blue cloth for sensitive floors, e.g. parquet, laminate, 1 white cloth for e.g. tiles)
 
 
 
 
Technical specifications
 
 
Power: 1,630 W.
 
Water tank capacity: 500 ml
 
Operating time per tank filling: approx. 14 minutes
 
Cable length: approx. 8 m
 
Protection class: IPX4
 
 
 
 
Dimensions
 
approx. 28 x 29.7 x 125 cm
 
 
 
Weight
 
approx. 2,800 g",https://www.lidl.de/p/silvercrest-dampfmopp-sdm-1500-d2/p100327255,2021-12-22 04:59:26.758435+00:00
Dampfbürste,Steam Brush  ,SILVERCREST,lidlde,100313667,"SILVERCREST® Dampfbürste »SDRB 1000 B1«, 1000 Watt","SILVERCREST® steam brush »SDRB 1000 B1«, 1000 watts",https://www.lidl.de/media/eaf0484f4a1b1b01a836713725d154a1.jpeg,12.99,12.99,EUR,4.4,90,"SILVERCREST® Dampfbürste »SDRB 1000 B1« mit Dampfstoß-Taste
Eigenschaften
 
Mit antihaftbeschichteter Bügelsohle 
4-in-1-Funktion:
 Aufbügeln 
 Bedampfen (Dampfstoß) 
 Ausbürsten 
 Entfusseln
 Abnehmbarer Wassertank (ca. 70 ml) 
 Stufenloser Temperaturregler und Dampfstoß-Taste 
Mit Indikationsleuchte zur Anzeige der Aufheizphase 
 Integrierte Standvorrichtung für Bügelpausen und praktische Aufhängeöse 
 Inklusive Einfüllbecher und abnehmbarem Bürstenaufsatz 
Betriebsbereit in 60 Sekunden
Technische Daten
Leistungsaufnahme: 1.000 W
Maße
ca. 37,9 x 9,5 x 12,2 cm
Gewicht
Gerät (inkl. Bürstenaufsatz): ca. 418 g 
Becher: ca. 11 g","SILVERCREST® steam brush »SDRB 1000 B1« with a burst of steam button
properties
 
With non-stick soleplate
4-in-1 function:
 Iron on
 Steaming
 Brushing out
 Unfuzz
 Removable water tank (approx. 70 ml)
 Infinitely variable temperature control and burst of steam button
With indicator light to indicate the heating-up phase
 Integrated stand for ironing breaks and practical hanging loop
 Including filling cup and removable brush attachment
Ready to use in 60 seconds
Technical specifications
Power consumption: 1,000 W
Dimensions
approx. 37.9 x 9.5 x 12.2 cm
Weight
Device (including brush attachment): approx. 418 g
Cup: approx. 11 g",https://www.lidl.de/p/silvercrest-dampfburste-sdrb-1000-b1-1000-watt/p100313667,2021-12-22 04:59:28.574409+00:00
Dampfbürste,Steam Brush  ,GRUNDIG,lidlde,100340413,GRUNDIG Dampfbürste »ST7950« FashionBrush,GRUNDIG steam brush »ST7950« FashionBrush,https://www.lidl.de/media/4aabe0715e9cf615fa11cb2eeaa43322.jpeg,29.99,69.99,EUR,4.3,42,"GRUNDIG Dampfbürste »ST7950« FashionBrush
 
Eigenschaften
 
 
25 g / Min. Dampfleistung dank integrierter elektrischer Pumpe für schnelles und schonendes Glätten
 
Keramikbeschichtete Heizplatte für dauerhaft reibungsfreies Glätten
 
LC-Display mit 2 Einstellungen (Eco / Normal)
 
Schnellaufheizend innerhalb von 35 Sekunden
 
Tropf-Stopp-Funktion verhindert effektiv Wasserflecken auf der Bügelwäsche
 
230 ml abnehmbarer Wassertank ermöglicht eine lange unterbrechungsfreie Dampf- und Bügelphase
 
Vertikaler und horizontaler Einsatz
 
Zubehör: Aufsteckbürste zum Glätten von dickeren Textilien und feiner Aufsatz für empfindliche Textilien und zum Entfernen von Staub
 
Inkl. Becher zum einfachen Befüllen 2,5 m langes Kabel
 
 
 
Technische Daten
 
Leistung: 1600 W
 
 
Maße
 
ca. 13 x 28 x 12 cm
 
 
Gewicht
 
ca. 930 g","GRUNDIG steam brush »ST7950« FashionBrush
 
properties
 
 
25 g / min. Steam output thanks to the integrated electric pump for quick and gentle smoothing
 
Ceramic-coated heating plate for permanent smooth smoothing
 
LC display with 2 settings (Eco / Normal)
 
Rapid heat-up within 35 seconds
 
The drip-stop function effectively prevents water stains on the ironing
 
230 ml removable water tank enables a long uninterrupted steaming and ironing phase
 
Vertical and horizontal use
 
Accessories: brush head for smoothing thick textiles and a fine attachment for sensitive textiles and for removing dust
 
Including cup for easy filling, 2.5 m long cable
 
 
 
Technical specifications
 
Power: 1600 W
 
 
Dimensions
 
approx. 13 x 28 x 12 cm
 
 
Weight
 
approx. 930 g",https://www.lidl.de/p/grundig-dampfburste-st7950-fashionbrush/p100340413,2021-12-22 04:59:29.756356+00:00
Dampfbürste,Steam Brush  ,AEG,lidlde,100336049,"AEG Dampfbürste Delicate 6000 »HS6-1-2EG«, 1200W","AEG steam brush Delicate 6000 »HS6-1-2EG«, 1200W",https://www.lidl.de/media/e85b0e2f2eb40fab1ddbb87d551faba6.jpeg,34.99,59.95,EUR,4.0,1,"AEG Dampfbürste Delicate 6000 »HS6-1-2EG«, 1200W
 
Eigenschaften
 
 
Glätten oder Aufdämpfen von Kleidungsstücken in Sekundenschnelle, dabei werden bis zu 99,9 % der Bakterien entfernt
 
Dampf einstellbar: nein
 
Dampfanzeig: nein
 
Dampffunktion vertikal
 
Dampffunktion horizontal
 
Aufheizzeit < 20 s
 
""Einsatzbereit"" Anzeige
 
Wassertank: 100 ml
 
Wassertank abnehmbar
 
 
 
Technische Daten
 
 
Leistung: 1.200 W
 
Dampf: 20 g/Min.
 
 
Material
 
Kunststoff/Metall
 
Maße
 
ca. 320 x 125 x 190
 
Gewicht
 
ca. 800 g","AEG steam brush Delicate 6000 »HS6-1-2EG«, 1200W
 
properties
 
 
Smoothing or steaming clothes in seconds, removing up to 99.9% of bacteria
 
Adjustable steam: no
 
Steam indicator: no
 
Vertical steam function
 
Horizontal steam function
 
Heating time <20 s
 
""Ready to use"" display
 
Water tank: 100 ml
 
Removable water tank
 
 
 
Technical specifications
 
 
Power: 1,200 W.
 
Steam: 20 g / min.
 
 
material
 
Plastic / metal
 
Dimensions
 
approx. 320 x 125 x 190
 
Weight
 
approx. 800 g",https://www.lidl.de/p/aeg-dampfburste-delicate-6000-hs6-1-2eg-1200w/p100336049,2021-12-22 04:59:31.311760+00:00
Dampfbürste,Steam Brush  ,SILVERCREST,lidlde,100301749,SILVERCREST® Dampfglättersystem,SILVERCREST® steamer system,https://www.lidl.de/media/002fd6b630989e6f00fe5985171f378c.jpeg,29.99,49.99,EUR,4.2,115,"SILVERCREST® Dampfglättersystem
Eigenschaften
 
Für schonendes Glätten und Auffrischen von Kleidung 
 Kleiderbügel sowie Stabilisierungsstrebe mit Befestigungsklammern zum praktischen Einspannen von Textilien 
 Ermöglicht unkompliziertes und schnelles Glätten von Kleidung 
Haken für zusätzliche Kleiderbügel 
Bequemes Arbeiten im Stehen durch Teleskopstange – Handteil bei Arbeitspausen einfach einhängen 
Ein-/Ausschalten per Fußtaste 
Mobil einsetzbar durch XL-Leichtlaufrollen – einfach kippen und losfahren (Tilt & Go System) 
Kleiderbügel um 360° drehbar 
Edelstahl-Bügelsohle 
Großer abnehmbarer 2,5-l-Wassertank für lange Laufzeit und einfaches Wiederbefüllen 
Kurze Aufheizzeit – in ca. 60 Sekunden einsatzbereit 
 Mit Statusanzeige, Abschaltautomatik und Überhitzungsschutz 
 Metallfeder als Knickschutz des Dampfschlauchs 
Sicheres Arbeiten dank Hitzeschutzhandschuh 
Bürstenaufsatz – öffnet das Gewebe für bessere Dampfaufnahme, für kräftige Gewebearten 
Bügelfaltenhalter – praktische Hilfe um einfach Bügelfalten zu erzeugen Aufbewahrungstasche
Inkl. Bürstenaufsatz, Bügelfaltenhalter, Aufbewahrungstasche, Hitzeschutzhandschuh und Textil-Schonbezug für das Handteil 
 Zusätzlicher Befestigungshaken für Zubehörteile (im Aufbewahrungsbeutel) oder Netzkabel
Technische Daten
 
Nennleistung: 1630 W 
Dampfleistung: 30 g/min 
 Wassertankvolumen: ca. 2,5 l 
Aufheizzeit: ca. 60 Sek
Lieferumfang
 
Dampfbürste mit Teleskopstange 
Bürstenaufsatz
Bügelfaltenhalter
Textil-Schonbezug 
Hitzeschutzhandschuh
Maße
 
Gerät (inkl. Teleskopstange & Bürste): ca. 46 x 27 x 164,5 cm 
Gesamthöhe Gerät (ausgezogen): ca. 164,5 cm 
Dampfschlauch inkl. Dampfkopf: ca. 142 cm 
Dampfschlauch ohne Dampfkopf: ca. 122 cm 
Durchmesser Dampfschlauch:c a. Ø 2,6 cm 
Kabel: ca. 190-200 cm
Gewicht
 
Gerät (inkl. Teleskopstange & Bürste): ca. 4.050 g 
Handschuh: ca. 18 g 
Bürstenaufsatz: ca. 21 g 
Bügelfaltenaufsatz: ca. 26 g 
Aufbewahrungstasche: ca. 12 g 
Schonbezug: ca. 7,6 g","SILVERCREST® steamer system
properties
 
For gentle smoothing and freshening up of clothes
 Clothes hangers and stabilizing struts with fastening clips for practical clamping of textiles
 Allows clothes to be straightened quickly and easily
Hooks for additional hangers
Comfortable working while standing thanks to the telescopic rod - simply attach the handpiece during work breaks
Switch on / off via foot switch
Mobile use thanks to XL smooth-running castors - just tilt and drive off (Tilt & Go system)
Clothes hanger can be rotated through 360 °
Stainless steel soleplate
Large, removable 2.5 l water tank for long running times and easy refilling
Short heat-up time - ready for use in approx. 60 seconds
 With status display, automatic switch-off and overheating protection
 Metal spring to protect the steam hose from kinking
Safe working thanks to heat protection gloves
Brush attachment - opens the fabric for better steam absorption, for strong types of fabric
Crease holder - practical help to easily create creases Storage bag
Including brush attachment, crease holder, storage bag, heat protection glove and protective textile cover for the handpiece
 Additional fastening hook for accessories (in the storage bag) or power cord
Technical specifications
 
Nominal power: 1630 W.
Steam output: 30 g / min
 Water tank volume: approx. 2.5 l
Heating time: approx. 60 sec
scope of delivery
 
Steam brush with telescopic rod
Brush attachment
Crease holder
Textile slipcover
Heat protection glove
Dimensions
 
Device (including telescopic rod & brush): approx. 46 x 27 x 164.5 cm
Total height of the device (extended): approx. 164.5 cm
Steam hose including steam head: approx. 142 cm
Steam hose without steam head: approx. 122 cm
Steam hose diameter: c a. Ø 2.6 cm
Cable: approx. 190-200 cm
Weight
 
Device (including telescopic rod & brush): approx. 4,050 g
Glove: approx. 18 g
Brush attachment: approx. 21 g
Crease attachment: approx. 26 g
Storage bag: approx. 12 g
Slip cover: approx. 7.6 g",https://www.lidl.de/p/silvercrest-dampfglattersystem/p100301749,2021-12-22 04:59:32.854013+00:00
Epilierer,Epilator ,BRAUN,lidlde,100338889,BRAUN Limited Edition »Silk-épil 9« Epilierer + Peeling Bürste,"BRAUN Limited Edition ""Silk-épil 9"" epilator + peeling brush",https://www.lidl.de/media/d220990961f203d1d8d746f94de9ed49.jpeg,89.99,144.99,EUR,5.0,6,"BRAUN Limited Edition »Silk-épil 9« Epilierer + Peeling Bürste
 
Um das 100-jährige Jubiläum von Braun zu feiern, haben wir spezielle Editionen für einige unserer führenden Produkte zusammengestellt, darunter unser effizientester Epilierer: der Silk-épil 9. Dieser Epilierer für Frauen verkörpert die Philosophie, unter der jedes Braun Produkt entsteht: Gutes Design hat Priorität. Breiterer Kopf für ultraschnelle Ergebnisse. Die MicroGrip-Technologie entfernt Haare, die Wachs nicht erfassen kann. Gleichermaßen effektive Haarentfernung bei Nass- oder Trockenanwendung. Intuitiv. Nützlich. Langlebig.
 
Highlights
 
 
Mühelos: Epilierer für Damen. Dank Micro-Grip-Pinzetten-Technologie seidig glatte Haut für Wochen
 
Design Edition: Limitierte Ausgabe mit exklusiver Aufbewahrungstasche zum 100-jährigen Jubiläum von Braun
 
Solide Beständigkeit: In Deutschland hergestellter Epilierer.
 
Langanhaltende Ergebnisse: Dieser Epilierer bietet einfache Haarentfernung und glatte Haut für Wochen, nicht nur Tage
 
100% wasserdicht: Einfache und bequeme Epilation in der Badewanne oder unter der Dusche
 
Ergonomisches Design und integriertes Smartlight: Für ein bequemes und gründliches Epilieren aller Körperbereiche
 
 
Eigenschaften
 
 
100% wasserdicht
 
Limitierte Ausgabe mit exklusiver Aufbewahrungstasche
 
Einfache Haarentfernung und glatte Haut für Wochen
 
Integriertes Smartlight
 
 
Lieferumfang
 
 
1x Epilierer 
 
1x Design Edition Aufbewahrungstasche in Weiß
 
1x Peelingaufsatz
 
1x Rasieraufsatz 
 
1x Trimmeraufsatz 
 
1x Aufsatz für optimalen Hautkontakt
 
1x Ladegerät
 
1x Reinigungsbürste
 ","BRAUN Limited Edition ""Silk-épil 9"" epilator + peeling brush
 
To celebrate Braun's 100th anniversary, we've put together special editions for some of our leading products, including our most efficient epilator: the Silk-épil 9. This epilator for women embodies the philosophy under which every Braun product is created: good design has priority. Wider head for ultra-fast results. MicroGrip technology removes hair that wax cannot capture. Equally effective hair removal with wet or dry use. Intuitive. Useful. Durable.
 
Highlights
 
 
Effortless: epilators for women. Thanks to micro-grip tweezers technology, silky smooth skin for weeks
 
Design Edition: Limited edition with an exclusive storage bag for the 100th anniversary of Braun
 
Solid durability: epilator made in Germany.
 
Long Lasting Results: This epilator provides easy hair removal and smooth skin for weeks, not just days
 
100% waterproof: easy and convenient epilation in the bath or shower
 
Ergonomic design and integrated smart light: For comfortable and thorough epilation of all areas of the body
 
 
properties
 
 
100% waterproof
 
Limited edition with exclusive storage bag
 
Easy hair removal and smooth skin for weeks
 
Integrated smart light
 
 
scope of delivery
 
 
1x epilator
 
1x Design Edition storage bag in white
 
1x peeling attachment
 
1x shaving attachment
 
1x trimmer attachment
 
1x attachment for optimal skin contact
 
1x charger
 
1x cleaning brush",https://www.lidl.de/p/braun-limited-edition-silk-epil-9-epilierer-peeling-burste/p100338889,2021-12-22 04:59:34.186223+00:00
Epilierer,Epilator ,BRAUN,lidlde,100329562,BRAUN Epiliergerät Silk épil 3170,BRAUN epilator Silk épil 3170,https://www.lidl.de/media/da97863b47016bd51e56651888e38be6.jpeg,24.99,44.99,EUR,5.0,6,"Braun »Silk-épil 3170« Epilierer
Der Braun Silk-épil 3-170 ist ideal für Epilations-Einsteigerinnen für eine sanfte Haarentfernung. Dank des 20-Pinzetten-Systems wird das Haar sanft an der Wurzel entfernt – für wochenlang glatte Haut. Die Massagerollen stimulieren den zu epilierenden Bereich und machen die Anwendung weniger schmerzhaft. Durch die kabelgebundene Anwendung ist Ihr Epilierer jederzeit einsatzbereit – ohne Aufladepausen, in einem Durchgang.
Eigenschaften
 
Ideal für Epilations-Einsteigerinnen
Bis zu 100 % sanfte Haarentfernung in nur einem Zug
Smartlight-Technologie für eine besonders gründliche Epilation
Seidig glatte Haut für Wochen, nicht nur Tage
Weniger schmerzhaft durch Massagerollen 
Passt sich Körperkonturen selbst in schwer zugänglichen Bereichen wie den Knien und Achseln an
Enthaltenes Zubehör:
 Reinigungsbürste, Ladegerät
 
Material
 
Metall, Kunststoff 
 
 
Maße
 
ca. 180 x 65 x 197 mm 
Gewicht
 
ca. 287 g ","Braun »Silk-épil 3170« epilator
The Braun Silk-épil 3-170 is ideal for epilation beginners for gentle hair removal. Thanks to the 20 tweezers system, the hair is gently removed at the root - for weeks of smooth skin. The massage rollers stimulate the area to be epilated and make the application less painful. Thanks to the wired application, your epilator is ready for use at any time - without charging pauses, in one go.
properties
 
Ideal for epilation beginners
Up to 100% gentle hair removal in just one go
Smartlight technology for particularly thorough epilation
Silky smooth skin for weeks, not just days
Less painful with massage rollers
Adapts to body contours even in hard-to-reach areas such as the knees and armpits
Included accessories:
 Cleaning brush, charger
 
material
 
Metal, plastic
 
 
Dimensions
 
approx. 180 x 65 x 197 mm
Weight
 
approx. 287 g",https://www.lidl.de/p/braun-epiliergerat-silk-epil-3170/p100329562,2021-12-22 04:59:35.530648+00:00
Epilierer,Epilator ,BRAUN,lidlde,100338387,BRAUN Silk-épil »SES 9-870«,BRAUN Silk-épil »SES 9-870«,https://www.lidl.de/media/045ccf9e27c9c2d4fa2c946c4ed31e13.jpeg,119,119,EUR,,,"BRAUN Silk-épil »SES 9-870« SensoSmart Epilierer/Rasierer/Trim
 
Der Braun Silk-épil 9-870 mit einem breiten Kopf für eine besonders schnelle Epilation. Die Micro-Grip-Technologie und der 40% breitere Kopf entfernen selbst die kürzesten Härchen (0,5 mm) – für eine besonders effiziente Epilation. Mit dem Rasier- und Trimmeraufsatz können empfindliche Bereiche behandelt werden. Der Epilierer ist 100% wasserdicht und kann problemlos in der Badewanne oder Dusche verwendet werden, was das Schmerzempfinden deutlich reduziert.
 
Eigenschaften
 
 
Kabelloser Wet & Dry Epilierer mit 7 Extras, Rose-gold
 
Der weltweit 1. intelligente Epilierer mit SensoSmart™ Technologie
 
Mit Andruckkontrolle für weniger Druck und effizientere Haarentfernung​
 
Kabellose Wet & Dry Anwendung in der Badewanne oder unter der Dusche​
 
Körper & Gesichtstrimmer für sensible Körperstellen ​
 
Epiliereraufsätze: Gesichsaufsatz, Hautkontaktaufsatz​
 
 
Lieferumfang
 
 
1x Epilierer
 
1x Rasieraufsatz
 
1x Trimmeraufsatz
 
1x Aufsatz für optimalen Hautkontakt
 
1x Präzisionsaufsatz für das Gesicht
 
1x Aufbewahrungsbeutel
 
1x Venus Swirl Rasierer
 
1x Reinigungsbürste
 
1x Ladegerät
 
 
 
Material
 
Kunststoff, Metall
 
 
Maße
 
ca. 180 x 65 x 197 mm
 
 
Gewicht
 
ca. 448 g","BRAUN Silk-épil ""SES 9-870"" SensoSmart epilator / razor / trim
 
The Braun Silk-épil 9-870 with a wide head for particularly fast epilation. The micro-grip technology and the 40% wider head remove even the shortest hairs (0.5 mm) - for particularly efficient epilation. Sensitive areas can be treated with the shaving and trimmer attachment. The epilator is 100% waterproof and can be used in the bathtub or shower without any problems, which significantly reduces the sensation of pain.
 
properties
 
 
Wireless Wet & Dry epilator with 7 extras, rose gold
 
The world's 1st intelligent epilator with SensoSmart ™ technology
 
With pressure control for less pressure and more efficient hair removal
 
Wireless Wet & Dry application in the bathtub or in the shower
 
Body & face trimmer for sensitive areas of the body
 
Epilator attachments: face attachment, skin contact attachment
 
 
scope of delivery
 
 
1x epilator
 
1x shaving attachment
 
1x trimmer attachment
 
1x attachment for optimal skin contact
 
1x precision attachment for the face
 
1x storage bag
 
1x Venus Swirl razor
 
1x cleaning brush
 
1x charger
 
 
 
material
 
Plastic, metal
 
 
Dimensions
 
approx. 180 x 65 x 197 mm
 
 
Weight
 
approx. 448 g",https://www.lidl.de/p/braun-silk-epil-ses-9-870/p100338387,2021-12-22 04:59:36.980730+00:00
Epilierer,Epilator ,BRAUN,lidlde,100329566,BRAUN Epiliergerät Silk épil 5-500 Sensosmart,BRAUN epilator Silk épil 5-500 Sensosmart,https://www.lidl.de/media/3ed0ca4822b7898d0981bd0cfdba1dbd.jpeg,39.99,39.99,EUR,3.5,4,"BRAUN Epiliergerät »Silk épil 5-500 Sensosmart«, für eine sanfte Haarentfernung
Der Braun Silk-épil 5-500 eignet sich ideal für eine sanfte Haarentfernung. Die Micro-Grip-Technologie mit 28 Pinzetten entfernt selbst kürzeste Härchen von 0,5 mm – seidig glatte Haut für Wochen, nicht nur Tage. Der Epilierer ist 100% wasserdicht, sodass er in der Badewanne oder Dusche verwendet werden kann, wodurch das Schmerzempfinden deutlich reduziert wird. Der Braun Silk-épil 5-500 hat eine integrierte SensoSmart-Drucksensortechnologie, die Ihre Epilation kontrolliert und noch mehr Haare in einem Zug entfernt. Bis zu 30 Minuten kabellose Anwendung.
Eigenschaften
 
Sanft:
 Epilierer für Frauen, ideal für Epilations-Einsteigerinnen, bis zu 100 % sanfte Haarentfernung in nur einem Zug
SensoSmart Andruckkontrolle:
 Die SensoSmart-Leuchte leuchtet rot auf, wenn Sie beim Epilieren zu fest aufdrücken und stellt sicher, dass der richtige Druck angewendet wird
Langanhaltend:
 Seidig glatte Haut für Wochen, nicht nur Tage
Weniger schmerzhaft:
 Hochfrequenz-Massageaufsatz mit pulsierenden Vibrationen zur Reduzierung des Schmerzempfindens
Effizient:
 Passt sich den Körperkonturen dank des kippbaren Aufsatzes an – für eine gründliche Epilation selbst in schwer erreichbaren Bereichen wie den Knien und Achseln
Lieferumfang
 
1x Epilierer
1x Aufsatz für optimalen Hautkontakt
1x Reinigungsbürste
1x Ladegerät","BRAUN epilator »Silk épil 5-500 Sensosmart«, for gentle hair removal
The Braun Silk-épil 5-500 is ideal for gentle hair removal. The micro-grip technology with 28 tweezers removes even the shortest hairs of 0.5 mm - silky smooth skin for weeks, not just days. The epilator is 100% waterproof, so it can be used in the bathtub or shower, which significantly reduces the sensation of pain. The Braun Silk-épil 5-500 has built-in SensoSmart pressure sensor technology that controls your epilation and removes even more hair in one go. Up to 30 minutes of wireless use.
properties
 
Soft:
 Epilator for women, ideal for epilation beginners, up to 100% gentle hair removal in just one go
SensoSmart pressure control:
 The SensoSmart light will turn red if you press too hard while epilating, making sure the correct pressure is being applied
Long-lasting:
 Silky smooth skin for weeks, not just days
Less painful:
 High-frequency massage attachment with pulsating vibrations to reduce the sensation of pain
Efficient:
 Adapts to the contours of the body thanks to the tiltable attachment - for thorough epilation even in hard-to-reach areas such as the knees and armpits
scope of delivery
 
1x epilator
1x attachment for optimal skin contact
1x cleaning brush
1x charger",https://www.lidl.de/p/braun-epiliergerat-silk-epil-5-500-sensosmart/p100329566,2021-12-22 04:59:38.344229+00:00
Epilierer,Epilator ,BRAUN,lidlde,100338918,BRAUN Limited Edition »Silk-épil 5«,BRAUN Limited Edition »Silk-épil 5«,https://www.lidl.de/media/d3cd428bf5437e47dd7d89f686284046.jpeg,59.99,89.99,EUR,5.0,1,"BRAUN Limited Edition »Silk-épil 5«
 
Um das 100-jährige Jubiläum von Braun zu feiern, haben wir spezielle Editionen für einige unserer führenden Produkte zusammengestellt, darunter den Silk-épil 5 Epilierer. Dieser Epilierer für Frauen verkörpert die Philosophie, unter der jedes Braun Produkt entsteht: Gutes Design hat Priorität. Sanfte Einstellung für eine noch sanftere und komfortablere Haarentfernung. Micro-Grip-Technologie, die in einem Zug epiliert. Der Rasieraufsatz verwandelt Ihren Epilierer in einen vollständig funktionellen Rasierer. Intuitiv. Nützlich. Langlebig.
 
Highlights
 
 
Epilierer für Damen, ideal für Epilations-Einsteigerinnen, mit einer Einstellung für besonders sanfte Haarentfernung
 
Design Edition: Limitierte Ausgabe mit exklusiver Aufbewahrungstasche zum 100-jährigen Jubiläum von Braun
 
Solide Beständigkeit: In Deutschland hergestellter Epilierer.
 
Mit aufweichender Massagekappe für eine komfortablere und sanftere Epilation
 
Glatte Haut: Dieses Gerät epiliert, rasiert und trimmt für eine langanhaltende Haarentfernung
 
Effizient: Passt sich leicht an schwierige Konturen wie Knie und Achselhöhlen an
 
 
Eigenschaften
 
 
Epiliert, rasiert und trimmt
 
Mit aufweichender Massagekappe
 
Mit exklusiver Aufbewahrungstasche
 
 
Lieferumfang
 
 
1x Epilierer 
 
1x Design Edition Aufbewahrungstasche in Weiß
 
1x Aufsatz für optimalen Hautkontakt
 
1x Einsteiger-Aufsatz
 
1x Rasieraufsatz 
 
1x Trimmeraufsatz
 
1x Ladegerät 
 
1x Reinigungsbürste
 ","BRAUN Limited Edition ""Silk-épil 5""
 
To celebrate Braun's 100th anniversary, we've put together special editions for some of our leading products, including the Silk-épil 5 epilator. This epilator for women embodies the philosophy under which every Braun product is created: good design has priority. Gentle setting for even gentler and more comfortable hair removal. Micro-grip technology that epilates in one go. The shaving attachment transforms your epilator into a fully functional razor. Intuitive. Useful. Durable.
 
Highlights
 
 
Epilator for women, ideal for beginners, with a setting for particularly gentle hair removal
 
Design Edition: Limited edition with an exclusive storage bag for the 100th anniversary of Braun
 
Solid durability: epilator made in Germany.
 
With a softening massage cap for a more comfortable and gentler epilation
 
Smooth Skin: This device epilates, shaves and trims for long-lasting hair removal
 
Efficient: Easily adapts to difficult contours such as knees and armpits
 
 
properties
 
 
Epilates, shaves and trims
 
With a softening massage cap
 
With exclusive storage bag
 
 
scope of delivery
 
 
1x epilator
 
1x Design Edition storage bag in white
 
1x attachment for optimal skin contact
 
1x entry-level attachment
 
1x shaving attachment
 
1x trimmer attachment
 
1x charger
 
1x cleaning brush",https://www.lidl.de/p/braun-limited-edition-silk-epil-5/p100338918,2021-12-22 04:59:39.721281+00:00
