Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link,Created at
Depilator,Epilator ,SILVERCREST,lidlpl,100325429001,"SILVERCREST® Depilator SED 3.7 G3, 1 sztuka","SILVERCREST® Epilator SED 3.7 G3, 1 piece",https://www.lidl.pl/media/930b6e8a81e0edde16b944a9b8b759ad.jpeg,99.90,99.90,PLN,4.6,17,"   Opis produktu     niezawodne usuwanie włosów dla długotrwałego efektu gładkiej skóry szybki i dokładny rezultat dzięki 32 parom pęset z nierdzewnej stali szlachetnej 2 poziomy prędkości przystawka z rolką do masażu zapewniająca przyjemne uczucie podczas depilacji oświetlenie LED sprawia, że widoczne są nawet najdrobniejsze włoski, co pozwala na wyjątkowo dokładną depilację zdejmowana główka depilatora do higienicznego czyszczenia pod bieżącą wodą przełącznik suwakowy z praktycznym zabezpieczeniem podczas podróży do wyboru praca za pomocą akumulatora lub przy podłączeniu do sieci dzięki funkcji Direct Drive zasilacz z dopasowaniem napięcia na całym świecie (100-240 V, 50/60 Hz)      Parametry techniczne     czas pracy: ok. 40 min (przy pełnym naładowaniu) czas ładowania: ok. 80 min akumulator litowo-jonowy: 700 mAh, 3,7 V DC technologia litowo-jonowa bez efektu pamięci niskie samowyładowanie stała, wysoka wydajność wydajna i przyjazna dla środowiska      Wymiary     ok. 130 x 66 x 36 mm (szer. x wys. x gł.)      Waga     ok. 138 g (z akumulatorem)      Zawartość zestawu     depilator pędzelek do czyszczenia nasadka ochronna przystawka z rolką do masażu woreczek do przechowywania adapter     ","Product description Reliable hair removal for a long-lasting smooth skin effect quick and accurate result thanks to 32 pairs of stainless steel tweezers 2 speed levels massage roller attachment for a pleasant feeling during epilation LED lighting makes even the finest hair visible for extraordinary thorough epilation removable epilator head for hygienic cleaning under running water slide switch with practical safety when traveling optional operation with battery or connected to the mains thanks to Direct Drive power supply with worldwide voltage adjustment (100-240 V, 50/60 Hz) ) Technical parameters Working time: approx. 40 min (when fully charged) Charging time: approx. 80 min Lithium-ion battery: 700 mAh, 3.7 V DC Lithium-ion technology without memory effect low self-discharge constant, high efficiency efficient and environmentally friendly Dimensions approx. 130 x 66 x 36 mm (width Dimensions (W x H x D) Weight approx. 138 g (with battery) Kit contents Epilator Cleaning brush Protective cap Attachment with a massage roller Storage bag Adapter",https://www.lidl.pl/p/silvercrest-depilator-sed-3-7-g3-1-sztuka/p100325429001,2021-12-16 10:33:08.981125+00:00
Szczotka parowa,Steam Brush  ,SILVERCREST,lidlpl,100301749,SILVERCREST® Parownica do ubrań 1630 W,SILVERCREST® Garment steamer 1630 W,https://www.lidl.pl/media/6259c9d1efbe01cd2526adaa3e2accf9.jpeg,359.00,359.00,PLN,4.2,114,"   Opis produktu     do wygładzania i odświeżania odzieży wieszak oraz podpory stabilizujące z klamrami mocującymi do praktycznego zawieszania tkanin pozwala na nieskomplikowane i szybkie wygładzanie odzieży hak na dodatkowe wieszaki wygodna praca na stojąco dzięki teleskopowemu drążkowi - rączkę można zawiesić podczas przerw włączanie/wyłączanie przyciskiem nożnym mobilne zastosowanie dzięki lekkobieżnym kółkom XL - wystarczy przechylić i pojechać wieszak na ubrania obracany o 360° stopa do prasowania ze stali szlachetnej duży 2,5 l, odczepiany zbiornik na wodę umożliwia długą pracę parownicy i proste napełnianie krótki czas nagrzewania – gotowość do pracy w ok. 60 sekund z wyświetlaniem statusu, automatycznym wyłączaniem i ochroną przed przegrzaniem metalowa sprężyna jako zabezpiecznie przed zginaniem węża parowego bezpieczna praca dzięki rękawicy chroniącej przed gorącem nasadka szczotki - otwiera tkaninę w celu lepszego wchłaniania pary, do grubych rodzjaów tkanin uchwyt do kantów w spodniach - praktyczna pomoc przy tworzeniu kantów w spodniach nasadka szczotki, uchwyt do kantów w spodniach, torba do przechowywania, rękawica chroniąca przed gorącem i pokrowiec z tkaniny na rączkę w zestawie dodatkowy hak do zamocowania akcesoriów (w woreczku do przechowywania) lub zasialcza      Parametry techniczne     moc znamionowa: 1630 W moc pary: 30 g/min pojemność zbiornika na wodę: ok. 2,5 l czas nagrzewania: ok. 60 sek.      Zawartość zestawu     szczotka parowa z drążkiem teleskopowym nasadka szczotki uchwyt do kantów w spodniach pokrowiec z tkaniny rękawica chroniąca przed gorącem      Wymiary     urządzenie (z drążkiem teleskopowym i szczotką): ok. 46 x 27 x 164,5 cm wąż parowy (z główką węża): ok. 142 cm wąż parowy (bez główki węża): ok. 122 cm średnica węża parowego: ok. Ø 2,6 cm długość kabla: ok. 190 - 200 cm     ","Product description for smoothing and refreshing clothes a hanger and stabilizing supports with fastening buckles for practical hanging of fabrics allows for uncomplicated and quick smoothing of clothes hook for additional hangers comfortable working while standing thanks to a telescopic rod - the handle can be hung during breaks on / off with a foot switch mobile use thanks to easy-running XL wheels - just tilt and drive the clothes hanger can be rotated 360 ° stainless steel ironing foot large 2.5 l, detachable water tank allows long operation of the steamer and easy filling short heating time - ready to use in approx. 60 seconds with status display, automatic switch-off and protection against overheating metal spring as protection against kinking of the steam hose safe working thanks to the heat protection glove brush attachment - opens the fabric for better steam absorption, for thick fabrics edge holder underneath - practical help in creating creases in trousers brush cap, holder for creases in trousers, storage bag, heat protection glove and fabric cover for the handle included, additional hook for attaching accessories (in a storage bag) or power supply Technical parameters power nominal: 1630 W steam power: 30 g / min water tank capacity: approx. 2.5 l heating time: approx. 60 sec. Contents of the set steam brush with telescopic rod brush attachment edge holder in pants fabric cover heat protection glove Dimensions device (with telescopic rod and brush): approx. 46 x 27 x 164.5 cm steam hose (with hose head): approx. 142 cm steam hose (without hose head): approx. 122 cm steam hose diameter: approx. Ø 2.6 cm cable length: approx. 190 - 200 cm",https://www.lidl.pl/p/silvercrest-parownica-do-ubran-1630-w/p100301749,2021-12-16 10:33:11.817115+00:00
Szczotka parowa,Steam Brush  ,SILVERCREST,lidlpl,100313667,"SILVERCREST® Szczotka parowa SDRB 1000 B1, 1000 W","SILVERCREST® Steam brush SDRB 1000 B1, 1000 W",https://www.lidl.pl/media/5a320136a8175b1d683d9f3e8b9d8538.jpeg,54.90,54.90,PLN,4.3,89,"   Opis produktu     ze stopą pokrytą powłoką przeciwdziałającą przywieraniu 4 w 1  odprasowywanie naparowywanie (wyrzut pary) wyczesywanie usuwanie zmechaceń   wyciągany pojemnik na wodę (ok. 70 ml) bezstopniowa regulacja temperatury i przycisk wyrzutu pary z lampką wskazującą fazy nagrzewania zintegrowana stopka do odstawiania podczas przerw w pracy oraz praktyczny uchwyt do powieszenia z pojemnikiem do napełniania i odpinaną nasadką szczotki gotowość do pracy w ciągu 60 sekund      Parametry techniczne     moc: 1000 W      Wymiary     ok. 37,9 x 9,5 x 12,2 cm      Waga     szczotka (z nasadką szczotki): ok. 418 g pojemnik: ok. 11 g     ",Product description with a non-stick coated foot 4 in 1 ironing steam deposition (steam discharge) brushing pilling removal removable water container (approx. 70 ml) infinitely variable temperature control and steam discharge button with a lamp indicating heating phases integrated foot for standing during breaks at work and a practical hanging handle with a filling container and a detachable brush cap ready to work in 60 seconds Technical parameters power: 1000 W Dimensions approx. 37.9 x 9.5 x 12.2 cm Brush weight (with brush attachment): approx. 418 g container: approx. 11 g,https://www.lidl.pl/p/silvercrest-szczotka-parowa-sdrb-1000-b1-1000-w/p100313667,2021-12-16 10:33:14.239844+00:00
Żelazko podróżne,Travel Iron ,SILVERCREST,lidlpl,100325351,"SILVERCREST® Żelazko parowe turystyczne 420 W, SDBR 420 A1","SILVERCREST® Steam iron, 420 W, SDBR 420 A1",https://www.lidl.pl/media/f95e76ca0b6b27493d8ae83509340459.jpeg,69.90,69.90,PLN,4.9,23,"   Opis produktu     możliwość prasowania parowego lub suchego idealne do zabrania na urlop lub w podróż służbową szerokie zastosowanie dzięki przełącznikowi napięcia i nie zabiera dużo miejsca dzięki kompaktowej budowie stopa z powłoką zapobiegającą przywieraniu 3 poziomy regulacji temperatury:  jedwab i tkaniny syntetyczne: 70-110 °C wełna: 100-140°C bawełna, len: 130 -170°C   praktyczne zwijanie kabla przy rączce w zestawie:  etui do przechowywania kubek z miarką instrukcja obsługi        Parametry techniczne     napięcie: 100-127 V / 220-240 V moc: 260-420 W / 343-408 W 3 poziomy temperatury długość kabla: ok. 190 cm kubek z miarką: ok. 30 ml      Wymiary     ok. 7,5 x 13,7 x 8,1 cm      Waga     ok. 500 g     ","Product description possibility of steam or dry ironing ideal for taking on vacation or on a business trip wide application thanks to the voltage switch and space saving thanks to its compact design non-stick coated foot 3 temperature settings: silk and synthetic fabrics: 70-110 ° C wool : 100-140 ° C cotton, linen: 130 -170 ° C practical cable winding at the handle included in the set: storage case cup with a measure instruction manual Technical parameters voltage: 100-127 V / 220-240 V power: 260-420 W / 343-408 W 3 temperature levels Cable length: approx. 190 cm Measure cup: approx. 30 ml Dimensions approx. 7.5 x 13.7 x 8.1 cm Weight approx. 500 g",https://www.lidl.pl/p/silvercrest-zelazko-parowe-turystyczne-420-w-sdbr-420-a1/p100325351,2021-12-16 10:33:20.609866+00:00
Wentylator stojący,Pedestal Fan,SILVERCREST,lidlpl,100325412,"SILVERCREST® Wentylator stojący z pilotem SSVF 45 A1, 45 W, 1 sztuka","SILVERCREST® Stand fan with remote control SSVF 45 A1, 45 W, 1 piece",https://www.lidl.pl/media/0dea12dffc639df6758088e01dee16ec.jpeg,129.00,129.00,PLN,4.5,87,"   Opis produktu     wyposażony w dmuchawę o 3 poziomach nawiewu dmuchawa z oscylacją i zdalnym sterowaniem 3 tryby ustawień: normalny, naturalny, sen dodatkowo włączana oscylacja 85° ustawiany kąt przechylenia w zestawie z pilotem zdalnego sterowania  Szukasz ochłody przed męczącym upałem? Ciężko Ci skupić się na pracy i odpocząć po niej bez choćby lekkiego powiewu chłodnego powietrza? Zapewnij sobie ochłodę z pomocą wentylatorów dostępnych w przystępnych cenach w sklepie online Lidl!     Parametry techniczne     7,5-godzinny timer – z regulacją co pół godziny i automatycznym wyłączaniem moc nominalna: 45 W      Wymiary     regulacja wysokości: 105-125 cm wymiary produktu: ok. 45 x 125 x 45 cm (szer. x wys. x gł.) długość kabla: 180 cm      Zawartość zestawu     wentylator stojący pilot     ","Product description equipped with a blower with 3 airflow levels. Oscillating blower with remote control. 3 setting modes: normal, natural, sleep. Is it hard for you to focus on work and relax after it without even a slight breeze of cool air? Cool down with the fans available at affordable prices in the Lidl online store! Technical parameters 7.5-hour timer - adjustable every half an hour and automatic switch-off Nominal power: 45 W Dimensions height adjustment: 105-125 cm Product dimensions: approx. 45 x 125 x 45 cm (W x H x D) ) cable length: 180 cm Set contents fan stand remote",https://www.lidl.pl/p/silvercrest-wentylator-stojacy-z-pilotem-ssvf-45-a1-45-w-1-sztuka/p100325412,2021-12-16 10:33:22.765042+00:00
Wentylator stojący,Pedestal Fan,SILVERCREST,lidlpl,100325405,"SILVERCREST® Wentylator stojący SV 60 A2, Ø 40 cm, 60 W","SILVERCREST® Stand fan SV 60 A2, Ø 40 cm, 60 W",https://www.lidl.pl/media/d52ceb2991bb8c0bd72527e939ad3707.jpeg,239.00,239.00,PLN,4.8,72,"   Opis produktu     wyświetlacz LED łatwy w obsłudze oraz pilot ruch 3D: pionowo, poziomo posiada aż 4 tryby nawiewu i 6 poziomów prędkości ustawiany kąt nachylenia 8 godz. zegar sterujący stabilnie trzyma się podłoża dzięki szerokiej podstawie z baterią do pilota      Parametry techniczne     napięcie znamionowe: 220-240V~ moc znamionowa: 60 W      Zawartość zestawu     1x wentylator stojący 1x pilot baterie      Wymiary     45 x 42 x 135 cm regulowana wysokość: ok. 114 - 135 cm Ø łopatek wirnika: ok. 40 cm     Waga    całkowita: ok. 7880 g podstawa: 3650 g trzon: 363 g kratka ochronna (z dwóch stron): 1150 g łopatki wirnika: 154 g      Gwarancja     3 lata      ","Product description Easy-to-use LED display and remote control 3D movement: vertically, horizontally, has up to 4 airflow modes and 6 speed levels, adjustable angle of inclination 8 hours. The control clock sticks to the ground stably thanks to the wide base with the remote control battery Technical parameters Rated voltage: 220-240V ~ Rated power: 60 W Kit contents 1x standing fan 1x remote control batteries Dimensions 45 x 42 x 135 cm adjustable height: approx. 114 - 135 cm Rotor blade diameter: approx. 40 cm Total weight: approx. 7880 g base: 3650 g shaft: 363 g protective grille (on both sides): 1150 g rotor blade: 154 g Warranty 3 years",https://www.lidl.pl/p/silvercrest-wentylator-stojacy-sv-60-a2-o-40-cm-60-w/p100325405,2021-12-16 10:33:28.384493+00:00
Wentylator stojący,Pedestal Fan,SILVERCREST,lidlpl,100325413,"SILVERCREST® Wentylator przenośny SBV 50 B1, 50 W","SILVERCREST® Portable fan SBV 50 B1, 50 W",https://www.lidl.pl/media/ef4b174f7fd6364292dbd04b567cdbb4.jpeg,79.90,79.90,PLN,4.7,495,"   Opis produktu     wentylator przenośny z 4-ma ustawieniami prędkości wirnika 5 łopatek wirnika zapewnia wyjątkowo duży strumień powietrza obrotowa kratka przednia zapewnia optymalną cyrkulację powietrza timer 120 minut i automatyczna funkcja wyłączania praktyczny uchwyt do przenoszenia      Parametry techniczne     napięcie robocze: 220-240 V~ moc: 50 W      Wymiary     ok. 37,5 x 14,5 x 42 cm długość kabla: ok. 180 cm      Waga     ok. 1,8 kg     ",Product description Portable fan with 4 rotor speed settings 5 ​​rotor blades for extra large air flow Rotating front grille for optimal air circulation 120 minutes timer and automatic shutdown function Practical carrying handle Technical parameters Operating voltage: 220-240 V ~ power: 50 W Dimensions approx. 37.5 x 14.5 x 42 cm Cable length: approx. 180 cm Weight approx. 1.8 kg,https://www.lidl.pl/p/silvercrest-wentylator-przenosny-sbv-50-b1-50-w/p100325413,2021-12-16 10:33:31.412793+00:00
Elektryczne Remover Blackhead,Electric Blackhead Remover,SILVERCREST,lidlpl,100329414,"SILVERCREST® Elektryczna maszynka do mięsa SFW 350 D4, 350 W","SILVERCREST® Electric Meat Grinder SFW 350 D4, 350 W",https://www.lidl.pl/media/ca922b37bb255e3a863467c71ff7a5ca.jpeg,199.00,199.00,PLN,4.5,49,"   Opis produktu     z nasadką do przecierania pomidorów wszechstronne zastosowanie – idealna do rozdrabniania mięsa oraz do wyrobu kiełbasy nadaje się także do ciasteczek – z nasadką do ciasteczek z nierdzewnej stali szlachetnej* z 4 wzorami przejrzysty panel obsługi soft touch z włącznikiem/wyłącznikiem i funkcją biegu wstecznego taca do napełniaja, podpórki wlotu/wylotu i ślimak z aluminiowego odlewu ciśnieniowego nóż krzyżowy ze stali szlachetnej przycisk odblokowujący do zdjęcia podpórki wlotu/wylotu higieniczne i łatwe czyszczenie z praktycznym nawijaczem kabla i nóżkami z przyssawkami do stabilnego ustawienia 4 przykładowe przepisy w zestawie  Zawartość zestawu: tacka do napełniania z popychaczem, 3 tarcze z otworami (grubymi 7 mm, średnimi 5 mm, drobnymi 3 mm), nasadka do przecierania pomidorów, nakładka do napychania kiełbasy, nassadka do kebbe, nasadka do ciastek     Parametry techniczne     przygotowanie 1 kg mięsa / na minutę krótka praca: 15 minut moc zablokowania silnika: do 1200 W pobór mocy: 350 W      Materiał wykonania     tworzywo sztuczne, aluminium      Wymiary     ok. 14,8 x 25,2 x 39 cm      Waga     całkowita: ok. 2909 g     ","Product description with the tomato grating attachment Versatile use - ideal for mincing meat and sausage also suitable for cookies - with cookie attachment made of stainless steel * with 4 designs transparent soft touch control panel with on / off switch and reverse function tray for filling, inlet / outlet supports and aluminum die-cast screw cross knife made of stainless steel unlocking button for removing the inlet / outlet support hygienic and easy cleaning with a practical cable winder and suction cup feet for a stable positioning 4 examples of recipes included. for filling with a pusher, 3 discs with holes (thick 7 mm, medium 5 mm, fine 3 mm), tomato grater attachment, sausage filling attachment, kebbe attachment, biscuit attachment Technical parameters preparation 1 kg of meat / per minute short operation: 15 minutes motor lock power: up to 1200 W power consumption: 350 W Material of plastic, aluminum Dimensions approx. 14.8 x 25.2 x 39 cm Total weight: approx. 2909 g",https://www.lidl.pl/p/silvercrest-elektryczna-maszynka-do-miesa-sfw-350-d4-350-w/p100329414,2021-12-16 10:33:37.972916+00:00
Elektryczne Remover Blackhead,Electric Blackhead Remover,SILVERCREST,lidlpl,100319477,"SILVERCREST® Czajnik elektryczny 1,7 l, 3100 W","SILVERCREST® Electric Kettle, 1.7 L, 3100 W",https://www.lidl.pl/media/ca79c1197ef4c3ebc7c014bc68b16281.jpeg,109.00,109.00,PLN,4.8,20,"   Opis produktu     w obudowie z wysokiej jakości stali szlachetnej z automatycznym wyłączaniem oraz ochroną przeciw włączeniu bez wody oryginalny system grzania Strix® wielowarstwowe dno ze stali szlachetnej z ukrytą grzałką przycisk otwierania pokrywki umożliwia prace i napełnianie jedną ręką wyjmowany filtr przeciw osadzaniu się kamienia ze podziałką wskazującą poziomy wody podstawka obracana o 360° nóżki antypoślizgowe ze zintegrowanym zwijaczem kabla gotuje 1 litr wody w czasie ok. 2 min. 50 sek. pojemność: 1,7 litra      Parametry techniczne     pobór mocy: 3100 W      Wymiary     podstawka: ok. Ø 147 x 38 mm czajnik bez podstawki: 215 x 147 x 237 mm długość przewodu zasilającego: ok. 75 cm      Waga     podstawka: ok. 213 g czajnik bez podstawki: ok. 780 g     ","Product description in a high-quality stainless steel housing with automatic switch-off and protection against switching on without water original Strix® heating system multi-layer stainless steel bottom with a hidden heater button for opening the lid allows one-handed operation and filling Removable anti-limescale filter with a scale indicating the levels 360 ° rotatable stand, non-slip feet with integrated cable reel, boils 1 liter of water in approx. 2 minutes. 50 sec. capacity: 1.7 liters Technical parameters power consumption: 3100 W Dimensions of the base: approx. Ø 147 x 38 mm kettle without a stand: 215 x 147 x 237 mm length of the power cord: approx. 75 cm Weight of the base: approx. 213 g kettle without bases: approx. 780 g",https://www.lidl.pl/p/silvercrest-czajnik-elektryczny-1-7-l-3100-w/p100319477,2021-12-16 10:33:49.510447+00:00
Elektryczne Remover Blackhead,Electric Blackhead Remover,SILVERCREST,lidlpl,100310766,"SILVERCREST® Elektryczny zaparzacz do herbaty STK 650 B2, 650W","SILVERCREST® Electric tea infuser STK 650 B2, 650W",https://www.lidl.pl/media/2c686bcbed01b71a2cf638bfa5cd4c0e.jpeg,89.90,89.90,PLN,4.6,123,"Właściwości  do parzenia  wyjątkowej herbaty bezprzewodowy, zdejmowany dzbanek z żaroodpornego szkła ze skalą i izolowanym termicznie uchwytem automatyczne wyłączanie i następnie funkcja utrzymująca ciepło wyjmowany filtr z tłokiem do łatwego czyszczenia pojemność: maks. 1 litr (ok. 8 filiżanek) przycisk reset na spodzie   Parametry techniczne  650 W   Wymiary  ok. 239,5 x 142 x 210 mm ","Unique tea brewing properties wireless, removable heat-resistant glass jug with scale and heat-insulated handle automatic switch-off and subsequent keeping warm function Removable filter with plunger for easy cleaning capacity: max. 1 liter (approx. 8 cups) reset button on the bottom Technical parameters 650 W Dimensions approx. 239.5 x 142 x 210 mm",https://www.lidl.pl/p/silvercrest-elektryczny-zaparzacz-do-herbaty-stk-650-b2-650w/p100310766,2021-12-16 10:33:51.133703+00:00
