Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Dampfbürste,Steam Brush  ,Grundig,metro,4013833037323,"Grundig ST 7950 Kleidungsdampfglätter Tragbare Dampfbürste 0,23 l 1600 W Schwarz, Kupfer","Grundig ST 7950 clothes steamer Portable steam brush 0.23 l 1600 W black, copper","https://prod-metro-markets.imgix.net/item_image/91b7ec31-c486-449c-97cc-546431dd1902?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",36.1,36.1,EUR,,,"Grundig ST 7950. Gerätetyp: Tragbare Dampfbürste, Fassungsvermögen Wassertank: 0,23 l, Anwärmdauer: 0,35 min. Leistung: 1600 W","Grundig ST 7950. Device type: Portable steam brush, water tank capacity: 0.23 l, heating time: 0.35 min. Power: 1600 W.",https://www.metro.de/marktplatz/product/22a9fabc-4ba7-4de4-b214-7093739140af#
Epilierer,Epilator ,Braun,metro,4210201282051,"Braun BeardTrimmer BT7220 Schwarz, Silber","Braun BeardTrimmer BT7220 black, silver","https://prod-metro-markets.imgix.net/item_image/03f8c0c9-1ed6-4de1-bb78-4a5e006f328b?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",53.5,53.5,EUR,,,"Braun BeardTrimmer BT7220. Minimum Haarlänge: 0,5 mm, Maximum Haarlänge: 2 cm, Stufe präzise: 0,5 mm. Produktfarbe: Schwarz, Silber, Ursprungsland: China. Energiequelle: Akku, Betriebsdauer: 80 min, Akku-/Batterietyp: Integrierte Batterie. Gewicht: 370 g, Batteriegewicht: 18,6 g. Verpackungsbreite: 57 mm, Verpackungstiefe: 137 mm, Verpackungshöhe: 282 mm","Braun BeardTrimmer BT7220. Minimum hair length: 0.5 mm, maximum hair length: 2 cm, level precise: 0.5 mm. Color of product: Black, Silver, Country of origin: China. Energy source: rechargeable battery, operating time: 80 min, rechargeable battery / battery type: integrated battery. Weight: 370 g, battery weight: 18.6 g. Packaging width: 57 mm, packaging depth: 137 mm, packaging height: 282 mm",https://www.metro.de/marktplatz/product/066e524b-a46e-4968-ad8f-52eae8b4e832#
Epilierer,Epilator ,Braun,metro,4210201320937,Braun All-in-one 81728159 Barttrimmer Schwarz,Braun All-in-one 81728159 Barttrimmer Schwarz,"https://prod-metro-markets.imgix.net/item_image/f1637e7f-624d-4fae-b452-d7c171d77c90?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",47.15,47.15,EUR,,,"Braun All-in-one 81728159. Minimum Haarlänge: 0,5 mm, Maximum Haarlänge: 2,1 cm, Trimm-Arten: Vollbart, Langer Bart, Kurzer Bart, Stoppel-Look. Produktfarbe: Schwarz, Material Messer: Metall, Ursprungsland: China. Energiequelle: Wechselstrom/Batterie, Betriebsdauer: 100 min, Akku-/Batterietyp: Integrierte Batterie. Gewicht: 440 g, Batteriegewicht: 18,6 g. Verpackungsbreite: 80 mm, Verpackungstiefe: 132 mm, Verpackungshöhe: 252 mm","Braun All-in-one 81728159. Minimum hair length: 0.5 mm, maximum hair length: 2.1 cm, trim types: full beard, long beard, short beard, stubble look. Color of product: Black, Knife material: Metal, Country of origin: China. Energy source: alternating current / battery, operating time: 100 min, rechargeable battery / battery type: integrated battery. Weight: 440 g, battery weight: 18.6 g. Packaging width: 80 mm, packaging depth: 132 mm, packaging height: 252 mm",https://www.metro.de/marktplatz/product/194fdd82-3caf-4e6e-8f59-9fc8d46f95ec#
Epilierer,Epilator ,Braun,metro,4210201320913,Braun BeardTrimmer 81728158 Barttrimmer Schwarz,Braun BeardTrimmer 81728158 Beard Trimmer Black,"https://prod-metro-markets.imgix.net/item_image/6d840f16-e15f-4914-b5d3-2fa1f64602de?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",62.95,62.95,EUR,,,"Braun BeardTrimmer 81728158. Minimum Haarlänge: 0,5 mm, Maximum Haarlänge: 2,1 cm, Trimm-Arten: Vollbart, Langer Bart, Kurzer Bart, Stoppel-Look. Produktfarbe: Schwarz, Material Messer: Metall, Ursprungsland: China. Energiequelle: Wechselstrom/Batterie, Betriebsdauer: 100 min, Akku-/Batterietyp: Integrierte Batterie. Gewicht: 445 g, Batteriegewicht: 18,6 g. Verpackungsbreite: 80 mm, Verpackungstiefe: 132 mm, Verpackungshöhe: 252 mm","Braun BeardTrimmer 81728158. Minimum hair length: 0.5 mm, maximum hair length: 2.1 cm, trim types: full beard, long beard, short beard, stubble look. Color of product: Black, Knife material: Metal, Country of origin: China. Energy source: alternating current / battery, operating time: 100 min, rechargeable battery / battery type: integrated battery. Weight: 445 g, battery weight: 18.6 g. Packaging width: 80 mm, packaging depth: 132 mm, packaging height: 252 mm",https://www.metro.de/marktplatz/product/442d86d5-8505-4e39-b598-9349f3d9779c#
Epilierer,Epilator ,Braun,metro,4210201320890,Braun All-in-one MGK7 Nass & Trocken Schwarz,Braun All-in-one MGK7 Wet & Dry Black,"https://prod-metro-markets.imgix.net/item_image/af566c53-2746-4f61-a52e-a31cab01f925?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",66.62,66.62,EUR,,,"Braun All-in-one MGK7. Minimum Haarlänge: 0,5 mm, Maximum Haarlänge: 2,1 cm, Trimm-Arten: Vollbart, Langer Bart, Kurzer Bart, Stoppel-Look. Produktfarbe: Schwarz, Material Messer: Metall, Ursprungsland: China. Energiequelle: Akku, Betriebsdauer: 100 min, Akku-/Batterietyp: Integrierte Batterie. Gewicht: 506 g, Batteriegewicht: 18,6 g. Verpackungsbreite: 80 mm, Verpackungstiefe: 132 mm, Verpackungshöhe: 252 mm","Braun all-in-one MGK7. Minimum hair length: 0.5 mm, maximum hair length: 2.1 cm, trim types: full beard, long beard, short beard, stubble look. Color of product: Black, Knife material: Metal, Country of origin: China. Energy source: rechargeable battery, operating time: 100 min, rechargeable battery / battery type: integrated battery. Weight: 506 g, battery weight: 18.6 g. Packaging width: 80 mm, packaging depth: 132 mm, packaging height: 252 mm",https://www.metro.de/marktplatz/product/fbc3982b-1d58-4249-bebb-8283fbd8b079#
Epilierer,Epilator ,Grundig,metro,4013833016694,"Grundig MS 7640 Herrenrasierapparat Rotationstrasierer Trimmer Schwarz, Silber","Grundig MS 7640 men's razor rotation razor trimmer black, silver","https://prod-metro-markets.imgix.net/item_image/4d207c26-a7d3-45d7-880f-5308c0860a08?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",36.1,36.1,EUR,,,"Grundig MS 7640. Rasierapparatsystem: Rotationstrasierer, Steuerung: Berührung. Produktfarbe: Schwarz, Silber. Energiequelle: Wechselstrom/Batterie, Betriebsdauer: 50 min, AC Eingangsspannung: 100 - 240 V. Verpackungsart: Box","Grundig MS 7640. Shaver system: rotation razor, control: touch. Product color: black, silver. Energy source: alternating current / battery, operating time: 50 min, AC input voltage: 100 - 240 V. Packaging: box",https://www.metro.de/marktplatz/product/2a70fcf3-5897-46e9-89f2-0a7a630df5af#
Standventilator,Pedestal Fan,Bestron,metro,8712184055852,Bestron Turmventilator AFT770WRC 78 cm 35 W RC,Bestron Turmventilator AFT770WRC 78 cm 35 W RC,"https://prod-metro-markets.imgix.net/item_image/dbd7c44e-1b3b-4e4b-9c86-fd64c4377130?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",37.8,37.8,EUR,,,"Der robuste und stabile Turmventilator AFT770WRC von Bestron ist die ideale Wahl, um eine angenehme, kühle Brise in Ihrem Zuhause oder Ihrer Arbeitsumgebung zu erzeugen! Dieser Standventilator verfügt über einen Motor mit hochwertigen Kupferleitern, der die elektrische Energieeffizienz des Motors verbessert und Geräusche reduziert. Darüber hinaus verfügt der Bestron Standventilator über eine 75°-Schwingungsfunktion und 3 Geschwindigkeitsstufen (niedrig, mittel und hoch). Sie können diesen Lüfter einfach mit den Steuertasten auf dem Digitalpanel oder über die mitgelieferte Fernbedienung bedienen.","The robust and stable tower fan AFT770WRC from Bestron is the ideal choice to create a pleasant, cool breeze in your home or your work environment! This pedestal fan has a motor with high quality copper conductors, which improves the electrical energy efficiency of the motor and reduces noise. In addition, the Bestron pedestal fan has a 75 ° oscillation function and 3 speed levels (low, medium and high). You can easily operate this fan with the control buttons on the digital panel or with the supplied remote control.",https://www.metro.de/marktplatz/product/c6127f85-0a61-4b23-b6a5-eed4471b2824#
Standventilator,Pedestal Fan,Clatronic,metro,4006160639261,Clatronic VL 3603 S Schwarz,Clatronic VL 3603 S Schwarz,"https://prod-metro-markets.imgix.net/item_image/b0425b6c-70b1-44d5-918b-7e8b879d87aa?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",27.97,27.97,EUR,,,"Clatronic VL 3603 S. Typ: Haushaltslüfter ohne Lamellen, Produktfarbe: Schwarz, Platzierung: Flur. Energiequelle: AC, Stromverbrauch (Standardbetrieb): 45 W, AC Eingangsspannung: 220 - 240 V. Verpackungsart: Box","Clatronic VL 3603 S. Type: Domestic fan without fins, Color of product: Black, Placement: Corridor. Energy source: AC, power consumption (standard operation): 45 W, AC input voltage: 220 - 240 V. Packaging: box",https://www.metro.de/marktplatz/product/c97cd94d-af2b-4452-a7d5-888be7bcc610#
Standventilator,Pedestal Fan,Bestron,metro,8712184056880,Bestron Tischventilator 45 cm DDF45W Weiß,Bestron table fan 45 cm DDF45W white,"https://prod-metro-markets.imgix.net/item_image/b01a6edb-e348-4c2b-9e93-6aaab33b5b14?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",28.64,28.64,EUR,,,"Dieser Tischventilator DDF45W von Bestron ist eine gute Wahl für die Luftzirkulation an heißen Sommertagen. Es verfügt über ein schlichtes und zugleich stilvolles Design, das zu jeder Einrichtung passt. Der elektrische Ventilator mit einem Durchmesser von 45 cm sorgt dafür, dass die frische Luft problemlos im Raum zirkuliert. Er verfügt über 3 Geschwindigkeitseinstellungen, sodass Sie den gewünschten Kühleffekt auswählen können. Dank der Oszillationsfunktion zirkuliert dieser Ventilator den Luftstrom effektiver und mit größerer Flächendeckung. Der Winkel des Lüfters ist einstellbar und sein Standfuß ist sehr stabil.","This table fan DDF45W from Bestron is a good choice for air circulation on hot summer days. It has a simple yet stylish design that goes well with any interior. The electric fan with a diameter of 45 cm ensures that the fresh air can circulate easily in the room. It has 3 speed settings so you can choose the cooling effect you want. Thanks to the oscillation function, this fan circulates the air flow more effectively and with a larger area coverage. The angle of the fan is adjustable and its stand is very stable.",https://www.metro.de/marktplatz/product/d2c05f55-09d1-4759-aff8-5be8554e8def#
Standventilator,Pedestal Fan,Tristar,metro,8713016059673,Tristar VE-5967 Ventilator,Tristar VE-5967 Ventilator,"https://prod-metro-markets.imgix.net/item_image/02789388-ab9d-40ee-ac75-7d7f5069bb2c?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",31.79,31.79,EUR,,,"Tristar VE-5967 Ventilator. Typ: Haushalts-Lamellenlüfter, Produktfarbe: Silber, Weiß, Platzierung: Tisch. Energiequelle: AC, Stromverbrauch (Standardbetrieb): 20 W, AC Eingangsspannung: 220 - 240 V. Gewicht: 1,65 kg. Verpackungsbreite: 150 mm, Verpackungstiefe: 290 mm, Verpackungshöhe: 345 mm. Menge pro Palette: 80 Stück(e)","Tristar VE-5967 fan. Type: Household Louvre Fan, Color of product: Silver, White, Placement: Table. Power source: AC, power consumption (standard operation): 20 W, AC input voltage: 220 - 240 V. Weight: 1.65 kg. Packaging width: 150 mm, packaging depth: 290 mm, packaging height: 345 mm. Quantity per pallet: 80 piece (s)",https://www.metro.de/marktplatz/product/d47beab4-c365-4256-9839-ceec3c75a129#
Turmventilator,Tower Fan,Tristar,metro,8713016042477,Tristar Turmventilator VE-5999 45 W 76 cm Weiß und Schwarz,Tristar tower fan VE-5999 45 W 76 cm white and black,"https://prod-metro-markets.imgix.net/item_image/b466d5f9-0fc6-445d-9c76-93183bb0e9f7?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",70.16,70.16,EUR,,,"Dieser Tristar Turmventilator VE-5999 sorgt für Abkühlung und Erfrischung an heißen Sommertagen. Durch sein einfaches, aber stilvolles Design ist er zudem eine hübsche Ergänzung für Ihre Inneneinrichtung. Dieser leistungsfähige Turmventilator kann ganz leicht mit der mitgelieferten Fernbedienung und der Timer-Funktion gesteuert werden. Er verfügt über drei Leistungsstufen, sodass Sie die gewünschte Kühlung einstellen und über drei unterschiedliche Modi (Normal, natürlich und Schlafmodus). Mit einer Oszillationsfunktion kann dieser Turmventilator den ganzen Raum kühl halten. Dank integriertem Griff kann der Lüfter problemlos in jedem Raum oder Büro platziert werden, während der stabile Sockel für einen festen Stand sorgt.","This Tristar tower fan VE-5999 provides cooling and refreshment on hot summer days. Due to its simple but stylish design, it is also a nice addition to your interior. This powerful tower fan can be easily controlled with the included remote control and the timer function. It has three power levels so that you can set the desired cooling and three different modes (normal, natural and sleep mode). With an oscillation function, this tower fan can keep the whole room cool. Thanks to the integrated handle, the fan can easily be placed in any room or office, while the sturdy base ensures a firm stand.",https://www.metro.de/marktplatz/product/8f723a1c-40b4-494b-a6fc-bc7d6768bf60#
Turmventilator,Tower Fan,Tristar,metro,8713016094964,Tristar Turmventilator VE-5864 40W 76 cm Weiß,Tristar tower fan VE-5864 40W 76 cm white,"https://prod-metro-markets.imgix.net/item_image/ea15a8fc-0dc8-4e5d-b8a7-d174f0a64e4d?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",32.54,32.54,EUR,,,"Dieser Tristar Turmventilator VE-5864 sorgt für Abkühlung und Erfrischung an heißen Sommertagen. Dank seines schlichten und zugleich stilvollen Designs ist er zudem eine hübsche Ergänzung für Ihre Inneneinrichtung. Der Turmventilator hat 3 Geschwindigkeitsstufen, so dass Sie stets den gewünschten Kühleffekt einstellen können. Mit dem 85°-Oszillationsmodus kann dieser Turmventilator den gesamten Raum angenehm kühl halten. Mit der Timer-Funktion können Sie die gewünschte Zeit für die automatische Abschaltung einstellen, sodass der Ventilator auch ideal für den Einsatz im Schlafzimmer geeignet ist.","This Tristar tower fan VE-5864 provides cooling and refreshment on hot summer days. Thanks to its simple and stylish design, it is also a pretty addition to your interior. The tower fan has 3 speed levels so that you can always set the desired cooling effect. With the 85 ° oscillation mode, this tower fan can keep the entire room pleasantly cool. With the timer function you can set the desired time for the automatic switch-off, so that the fan is also ideal for use in the bedroom.",https://www.metro.de/marktplatz/product/02768ad6-553b-4ee9-a82b-1d951d39fdb6#
Kühler,Radiator,Bosch,metro,4242005196975,Bosch Serie 4 KGV33VLEA Kühl- und Gefrierkombination Freistehend 289 l E Edelstahl,Bosch Serie 4 KGV33VLEA fridge-freezer combination freestanding 289 l E stainless steel,"https://prod-metro-markets.imgix.net/item_image/bae75ec2-3003-4d1e-87ef-f13b1552ce76?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",462.58,462.58,EUR,,,"Bosch Serie 4 KGV33VLEA. Nutzinhalt Gesamteinheit: 289 l. Türanschlag: Rechts. Klimakategorie: SN-T, Geräuschpegel: 39 dB. Nutzinhalt Kühlschrank: 195 l, Innenbeleuchtung Kühlfach, Kühlschrank - Anzahl der Regale: 4, Anzahl der Gemüsefächer: 1. Nutzinhalt Gefrierfach: 94 l, Gefriervermögen: 4,5 kg/24h. Energieeffizienzklasse: E, Jährlicher Energieverbrauch: 228 kWh. Produktfarbe: Edelstahl","Bosch series 4 KGV33VLEA. Total net volume: 289 l. Door hinge: right. Climate category: SN-T, noise level: 39 dB. Net capacity refrigerator: 195 l, interior lighting refrigerator compartment, refrigerator - number of shelves: 4, number of vegetable compartments: 1. Net capacity freezer compartment: 94 l, freezing capacity: 4.5 kg / 24h. Energy efficiency class: E, annual energy consumption: 228 kWh. Product color: stainless steel",https://www.metro.de/marktplatz/product/094f7238-abb1-4dfc-a39f-e83dc1daee0f#
Luftreiniger,Air Purifier,Miele,metro,4002516479833,Miele Aktivkohlefilter schwarz,Miele activated charcoal filter black,"https://prod-metro-markets.imgix.net/item_image/e69004ae-e592-4b4c-b273-02c23c1570d6?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",50.8,50.8,EUR,,,Aktivkohlefilter für den Miele PAC 1045/1080.,Activated charcoal filter for the Miele PAC 1045/1080.,https://www.metro.de/marktplatz/product/f68557e7-0436-4e0f-b408-19bebe9daa1b#
Luftreiniger,Air Purifier,Miele,metro,4002516446361,Miele Luftreiniger PAC 1080,Miele PAC 1080 air purifier,"https://prod-metro-markets.imgix.net/item_image/8a3321d8-203d-4db9-8522-853a107efff3?h=148&ixlib=php-2.3.0&q=100&w=148&auto=format,compress",3191.58,3191.58,EUR,,,Luftreiniger zur Reduktion von Luftverunreinigungen und Aerosolen in Räumen bis 80 m².,Air purifier to reduce air pollution and aerosols in rooms up to 80 m².,https://www.metro.de/marktplatz/product/61ab029a-857c-4d36-bb7e-c7045f65fe9d#
