Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Standventilator,Pedestal Fan,LIVOO,otto,3523930095542,LIVOO Standventilator LIVOO Ventilator Tischventilator Stand Lüfter Luftkühler DOM269N,LIVOO Stand Fan LIVOO Fan Desk Fan Stand Fan Air Cooler DOM269N,https://i.otto.de/i/otto/3115f86a-c4a9-59f7-8261-ad0c217f4ffd?w=1790&h=2500,43.63,69.00,EUR,,,"
LIVOO Ventilator Tischventilator Stand Lüfter Luftkühler DOM269N
",LIVOO fan table fan stand fan air cooler DOM269N,https://www.otto.de/p/livoo-standventilator-livoo-ventilator-tischventilator-stand-luefter-luftkuehler-dom269n-S0B1F06F/
Luftreiniger,Air Purifier,Philips,otto,8710103906797,"Philips Luftreiniger AC3033#ft5_slash#10 Series 3000i, für 104 m² Räume, grau#ft5_slash#weiß","Philips air purifier AC3033 # ft5_slash # 10 Series 3000i, for 104 m² rooms, gray # ft5_slash # white",https://i.otto.de/i/otto/36318100?w=1790&h=2500,459.00,499.99,EUR,4.5,28,"
Filtert Pollen, Staub, Bakterien und ultrafeine Partikel ab 0,02µm
App-steuerbar, Allergiemanagement, Luftqualitätsaufzeichnung
AeraSense Technologie informiert in Echtzeit über die Luftqualität
Reinigt effektiv Räume bis zu 104 m², geräuscharmer Betrieb
Auto-, Turbo- und Schlafmodus, passendes Filter-Set: FY3430/30
","Filters pollen, dust, bacteria and ultra-fine particles from 0.02 µm
App-controllable, allergy management, air quality recording
AeraSense technology provides real-time information about the air quality
Effectively cleans rooms up to 104 m², low-noise operation
Auto, turbo and sleep mode, suitable filter set: FY3430 / 30",https://www.otto.de/p/philips-luftreiniger-ac3033-10-series-3000i-fuer-104-m2-raeume-grau-weiss-1222756564/
Elektrischer Lockenwickler,Electric Hair Curler,LIVOO,otto,3523930097386,LIVOO Lockenstab LIVOO Lockenwickler elektrisch Lithium-Akku Locken machen DOS179,LIVOO curling iron LIVOO hair curler electric lithium battery to make curls DOS179,https://i.otto.de/i/otto/143f8528-587c-41a0-a9a3-5db596ca9b3a?w=1790&h=2500,69.42,,EUR,,,"
PERFEKTES STYLING - Mit diesem tollen kabellosen Lockenstab können Sie Ihre Haare überall problemlos stylen. Der Lockenwickler hat eine Betriebsdauer von bis zu 60 Minuten.
TEMPERATUREINSTELLUNG - Die Temperatureinstellung von 150° bis 200° C ermöglicht Ihnen eine Vielzahl von verschiedenen Lockengrößen und Lockenformen.
SICHERHEIT - Das Gerät schaltet sich nach 10 minuten automatisch ab. Das Design liegt gut in der Hand und ein Verbrühen der Finger ist nicht möglich.
LEICHT UND KLEIN - Laden Sie den automatischen Lockenwickler mit dem USB Kabel zu Hause auf nehmen Sie das Gerät einfach mit. Er passt in jede Handtasche.
TOLLE ZUSATZFUNKTION - Das Stylinggerät hat eine tolle Zusatzfunktion. Sie können den Lockenstab auch als Powerbank verwenden und unterwegs Ihr Handy damit aufladen.
","PERFECT STYLING - You can easily style your hair anywhere with this great cordless curling iron. The curler has an operating time of up to 60 minutes.
TEMPERATURE ADJUSTMENT - The temperature setting from 150 ° to 200 ° C allows you a variety of different curl sizes and shapes.
SAFETY - The device switches itself off automatically after 10 minutes. The design sits comfortably in the hand and you cannot scald your fingers.
LIGHT AND SMALL - Charge the automatic hair curler with the USB cable at home - just take the device with you. It fits in every handbag.
GREAT ADDITIONAL FUNCTION - The styling device has a great additional function. You can also use the curling iron as a power bank and charge your mobile phone with it on the go.",https://www.otto.de/p/livoo-lockenstab-livoo-lockenwickler-elektrisch-lithium-akku-locken-machen-dos179-S0R1F08Z/
Bodenventilator,Floor Fan ,Klarstein,otto,4060656100918,"Klarstein Bodenventilator Summer Vibe Standventilator Ventilator Standlüfter 16"" Rotor 55 W 2040 m³#ft5_slash#h Oszillation #ft5_slash# neigbar #ft5_slash# höhenverstellbar Grip-Shift","Klarstein Floor Fan Summer Vibe Stand Fan Fan Stand Fan 16 ""rotor 55 W 2040 m³ # ft5_slash # h oscillation # ft5_slash # tiltable # ft5_slash # height-adjustable grip shift",https://i.otto.de/i/otto/9a6b832b-23d1-523e-b45c-91375c301c8b?w=1790&h=2500,49.99,,EUR,,,"
Cooles Windrad: 16"" (41 cm) Standventilator mit 5 kraftvollen Rotorblättern
Kühler Kopf an heißen Tagen: kraftvoller Ventilator mit 3 Leistungsstufen für die frische Brise nach Wunsch
Windstärke 12: Abkühlung mit Luftströmen bis 2040 m³/h
Geräuscharm: niedriges Betriebsgeräusch mit max. 60 dB auf höchster Stufe durch speziell entwickeltes Rotorblatt
Sparsam: nur 55 Watt Leistungsaufnahme im Dauerbetrieb
","Cool wind turbine: 16 ""(41 cm) standing fan with 5 powerful rotor blades
Cool head on hot days: powerful fan with 3 power levels for the fresh breeze as desired
Wind force 12: Cooling with air currents up to 2040 m³ / h
Low noise: low operating noise with max. 60 dB at the highest level thanks to specially developed rotor blades
Economical: only 55 watts power consumption in continuous operation",https://www.otto.de/p/klarstein-bodenventilator-summer-vibe-standventilator-ventilator-standluefter-16-rotor-55-w-2040-m3-h-oszillation-neigbar-hoehenverstellbar-grip-shift-S062C0XY/
Bodenventilator,Floor Fan ,Klarstein,otto,4060656100925,"Klarstein Bodenventilator Clear Stream Standventilator 16"" 28W 3120m³#ft5_slash#h Oszillation 90° WhisperFlow","Klarstein Floor Fan Clear Stream Floor Fan 16 ""28W 3120m³ # ft5_slash # h Oscillation 90 ° WhisperFlow",https://i.otto.de/i/otto/2d62b145-ae58-5afb-8dfe-4fd24c776a3e?w=1790&h=2500,84.99,,EUR,,,"
Keep cool: kraftvoller Ventilator mit 3 Windstufen - Normal, Natur, Schlaf
Silent Service: leiser Betrieb dank WhisperFlow Technologie bei geringer 28 W Leistungsaufnahme
Variabler Luftstrom: 12 Geschwindigkeitsstufen bei einem Luftdurchsatz von 3120 m³/h
Rundum einsetzbar: zuschaltbare horizontale Oszillation von 90° und 25° neigbarer Rotor
Leistungsstarkes Windrad: 16"" (41 cm) Rotordurchmesser mit 5 kraftvollen Flügelblättern
","Keep cool: powerful fan with 3 wind levels - normal, nature, sleep
Silent Service: Quiet operation thanks to WhisperFlow technology with low power consumption of 28 W.
Variable air flow: 12 speed levels with an air flow rate of 3120 m³ / h
All-round use: switchable horizontal oscillation of 90 ° and 25 ° inclinable rotor
Powerful wind turbine: 16 ""(41 cm) rotor diameter with 5 powerful blades",https://www.otto.de/p/klarstein-bodenventilator-clear-stream-standventilator-16-28w-3120m3-h-oszillation-90-whisperflow-S062C0XP/
Reisebügeleisen,Travel Iron ,PRINCESS,otto,8713016097101,PRINCESS Dampfbügeleisen 2in1 Reisebügeleisen 328000,PRINCESS steam iron 2in1 travel iron 328000,https://i.otto.de/i/otto/fbf40ee2-4ae9-5197-adac-3f25a6807ddc?w=1790&h=2500,59.85,,EUR,,,"
Leistung: 160 Watt
Bügelsohle: Titan, Antihaftbeschichtung
Kabellänge: Reisebügeleisen
","Power: 160 watts
Soleplate: titanium, non-stick coating
Cable length: travel iron",https://www.otto.de/p/princess-dampfbuegeleisen-2in1-reisebuegeleisen-328000-CS030X0N7/
Standventilator,Pedestal Fan,Klarstein,otto,4260435918110,Klarstein Ventilatorkombigerät DryFy 20 Luftentfeuchter 420W 20l#ft5_slash#d 230m³#ft5_slash#h 40-50m² DrySelect 45dB anthrazit,Klarstein Fan Combination Unit DryFy 20 Dehumidifier 420W 20l # ft5_slash # d 230m³ # ft5_slash # h 40-50m² DrySelect 45dB anthracite,https://i.otto.de/i/otto/26cefa69-9d95-5e0a-86bf-e2bbda6ae580?w=1790&h=2500,199.99,284.99,EUR,,,"
Ideale Luftfeuchte: 20 Liter / 24 h Entfeuchtungsleistung zum Trocknen von Innenräumen nach Bau- und Renovierungsarbeiten oder zur Regulierung der Luftfeuchte in Küche,
Elegantes Design: Blickfang durch geschwungene Linienführung
Kraftvoll: 420 W Leistung für 230 m³/h Luftumwälzung - ideal für 40 bis 50 m²
Lange Laufzeit: 5 Liter Wassertank, inklusive Ablaufschlauch für Dauerbetrieb
DrySelect: programmierbare Zielluftfeuchte und Timer zur Anpassung an individuelle Wünsche
","Ideal humidity: 20 liters / 24 h dehumidification performance for drying interior spaces after construction and renovation work or for regulating the humidity in the kitchen,
Elegant design: eye-catcher through curved lines
Powerful: 420 W power for 230 m³ / h air circulation - ideal for 40 to 50 m²
Long running time: 5 liter water tank, including drain hose for continuous operation
DrySelect: programmable target air humidity and timer for adaptation to individual requirements",https://www.otto.de/p/klarstein-ventilatorkombigeraet-dryfy-20-luftentfeuchter-420w-20l-d-230m3-h-40-50m2-dryselect-45db-anthrazit-S062C0ZE/
Standventilator,Pedestal Fan,Tristar,otto,8713016059529,Tristar Standventilator Tristar Standventilator VE-5952 30W 25cm Silbern,Tristar Stand Fan Tristar Stand Fan VE-5952 30W 25cm Silbern,https://i.otto.de/i/otto/30c86eb8-bd0d-49e7-bf94-8d27d46208f0?w=1790&h=2500,50.13,,EUR,,,,,https://www.otto.de/p/tristar-standventilator-tristar-standventilator-ve-5952-30w-25cm-silbern-S0S2F0PL/
Bodenventilator,Floor Fan ,Midea,otto,4048164108268,Midea Bodenventilator,Midea Bodenventilator,https://i.otto.de/i/otto/6db4c112-34ec-5b51-9e86-4376d5b34c39?w=1790&h=2500,605.00,,EUR,,,,,https://www.otto.de/p/midea-bodenventilator-S0I2H01L/
Bodenventilator,Floor Fan ,LIVOO,otto,3523930060007,LIVOO Standventilator LIVOO Bodenventilator Raumventilator Ventilator Lüfter DOM271,LIVOO pedestal fan LIVOO floor fan room fan fan fan DOM271,https://i.otto.de/i/otto/40e2c821-3e95-5794-b1d3-7e604dd30117?w=1790&h=2500,81.37,,EUR,,,"
LIVOO Bodenventilator Raumventilator Ventilator Lüfter DOM271
",LIVOO floor fan room fan fan fan DOM271,https://www.otto.de/p/livoo-standventilator-livoo-bodenventilator-raumventilator-ventilator-luefter-dom271-S0A1F0VF/
