Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Portable Air Cooler,Portable Air Cooler,apple,walmart,533COVUD30DT,"Polar Portable Air Conditioner Small Personal Evaporative Space Cooler AC - Sleep Edition - USB, Humidifier, Fan, With Sleep Timer (5-1)","Polar Portable Air Conditioner Small Personal Evaporative Space Cooler AC - Sleep Edition - USB, Humidifier, Fan, With Sleep Timer (5-1)",https://i5.walmartimages.com/asr/f1a1eeae-a326-4a9e-b9ca-ff893df2224b.9588ce0624739070cadd7c16472ad8fb.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,0,,USD,3.1,11,PERSONAL SPACE AIR COOLER - Based on natural water evaporation technology so no harmful chemicals are used! Air is drawn in and the specially designed filter uses evaporative technology to cool the,PERSONAL SPACE AIR COOLER - Based on natural water evaporation technology so no harmful chemicals are used! Air is drawn in and the specially designed filter uses evaporative technology to cool the,https://www.walmart.com/ip/Polar-Portable-Air-Conditioner-Small-Personal-Evaporative-Space-Cooler-AC-Sleep-Edition-USB-Humidifier-Fan-With-Sleep-Timer-5-1/946841486?athbdg=L1700
Portable Air Cooler,Portable Air Cooler,apple,walmart,69QHRSC6KUO5,"LG Electronics Portable Air Conditioner, White","LG Electronics Portable Air Conditioner, White",https://i5.walmartimages.com/asr/3ee8ce26-db74-4dfd-8c88-39359aa07ae9.cfb8467c96da924984590ffad5e50618.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,0,,USD,4.4,151,This portable air conditioner is a great choice for versatile cooling! This quiet unit is ideal for cooling medium rooms up to 250 sq. ft. The unit has 2 cooling and fan speeds and a 24 hour timer to,This portable air conditioner is a great choice for versatile cooling! This quiet unit is ideal for cooling medium rooms up to 250 sq. ft. The unit has 2 cooling and fan speeds and a 24 hour timer to,https://www.walmart.com/ip/LG-Electronics-6-000-BTU-Portable-Air-Conditioner-LP0621WSR/906079408
Portable Air Cooler,Portable Air Cooler,apple,walmart,0TI56HKCAWUN,"LG Electronics 10,000 BTU Portable Air Conditioner Heat & Cool","LG Electronics 10,000 BTU Portable Air Conditioner Heat & Cool",https://i5.walmartimages.com/asr/b53e4f6c-7cd8-4dc6-bae6-059d4f9aa214.5b8b17f4193e0230ea708e72ebd0c0db.png?odnHeight=180&odnWidth=180&odnBg=ffffff,625.23,,USD,5,2,This portable air conditioner is the SMART choice for versatile cooling! Cool your home from anywhere using LG ThinQ technology to control your air conditioner with your phone or use with Amazon Alexa,This portable air conditioner is the SMART choice for versatile cooling! Cool your home from anywhere using LG ThinQ technology to control your air conditioner with your phone or use with Amazon Alexa,https://www.walmart.com/ip/LG-Electronics-10-000-BTU-Portable-Air-Conditioner-Heat-Cool/778866571
Portable Air Cooler,Portable Air Cooler,apple,walmart,36QM8GMDV3DK,"LG Electronics 8,000 BTU Portable Air Conditioner","LG Electronics 8,000 BTU Portable Air Conditioner",https://i5.walmartimages.com/asr/3636b91b-fff2-4a56-983e-eb9bb3fb054f.113d5314fc49aa408e0d7166c3658cc5.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,349,499.99,USD,4.1,62,This portable air conditioner is the SMART choice for versatile cooling! Cool your home from anywhere using LG ThinQ technology to control your air conditioner with your phone or use with Amazon Alexa,This portable air conditioner is the SMART choice for versatile cooling! Cool your home from anywhere using LG ThinQ technology to control your air conditioner with your phone or use with Amazon Alexa,https://www.walmart.com/ip/LG-Electronics-8-000-BTU-Portable-Air-Conditioner/188736039?athbdg=L1700
Floor Fan ,Floor Fan ,apple,walmart,2N2K48C5BTE9,"BLACK+DECKER BFSR16B 16 in. Stand Fan with Remote Control, Black","BLACK+DECKER BFSR16B 16 in. Stand Fan with Remote Control, Black",https://i5.walmartimages.com/asr/9613e6be-5709-4ee2-bc03-520604a821ab_1.73540dd889614e286ce8172a504f03d9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,54.37,,USD,3.2,16,Features: -3 Speed settings to get the right amount of air circulation. -Easy-to-use remote control with onboard storage (batteries not included). -Durable. -Adjustable height and tilt angle.,Features: -3 Speed settings to get the right amount of air circulation. -Easy-to-use remote control with onboard storage (batteries not included). -Durable. -Adjustable height and tilt angle.,https://www.walmart.com/ip/BLACK-DECKER-BFSR16B-16-in-Stand-Fan-with-Remote-Control-Black/432058183
Floor Fan ,Floor Fan ,apple,walmart,1T9HJ0GBVFRT,"BLACK+DECKER 18"" Oscillating 3-Speed Stand Fan with Remote Control, BFSR18B, Black","BLACK+DECKER 18"" Oscillating 3-Speed Stand Fan with Remote Control, BFSR18B, Black",https://i5.walmartimages.com/asr/06515daa-307a-4d07-836c-9a17525ef2bc_1.2def9fabed2c66276845222b979ea2f9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,0,,USD,3.4,78,Features: -3 Speed settings to get the right amount of air circulation. -Easy-to-use remote control with onboard storage (batteries not included). -Durable. -Adjustable height and tilt angle.,Features: -3 Speed settings to get the right amount of air circulation. -Easy-to-use remote control with onboard storage (batteries not included). -Durable. -Adjustable height and tilt angle.,https://www.walmart.com/ip/BLACK-DECKER-18-Oscillating-3-Speed-Stand-Fan-with-Remote-Control-BFSR18B-Black/170109497
Floor Fan ,Floor Fan ,apple,walmart,3DUJ77MAHP5C,Polar-Aire 4 inch USB Personal Fan,Polar-Aire 4 inch USB Personal Fan,https://i5.walmartimages.com/asr/2727fd35-19c1-4649-8680-5a9eccc0016a.1e43a53249e350d1786ff17d3285c4e8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,14.88,,USD,5,2,Polar Aire VF-4USB 4 in. Floor Fan,Polar Aire VF-4USB 4 in. Floor Fan,https://www.walmart.com/ip/Polar-Aire-4-inch-USB-Personal-Fan/169215206
Heatable towel rail,Heatable towel rail,apple,walmart,6NEG2ISZ8U4I,Preston 24 in. Towel Bar in Spot Resist Brushed Nickel,Preston 24 in. Towel Bar in Spot Resist Brushed Nickel,https://i5.walmartimages.com/asr/38196c67-4915-4b40-b474-41a38a88b80c.d29e281455ae58ad9fd0e87543d9ddb9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,0,,USD,4.4,5,Brushed nickel finish brings the warm look of stainless to your bathCorrosion resistantLimited lifetime warranty,Brushed nickel finish brings the warm look of stainless to your bathCorrosion resistantLimited lifetime warranty,https://www.walmart.com/ip/Preston-24-in-Towel-Bar-in-Spot-Resist-Brushed-Nickel/103232834
Heatable towel rail,Heatable towel rail,apple,walmart,26QVOATHSK5L,"Preston 24-Inch Double Towel Bar, Chrome","Preston 24-Inch Double Towel Bar, Chrome",https://i5.walmartimages.com/asr/34e8c97c-bdec-4ab3-9e27-2e856139b93f.b338b0554a0e4416def3081e858b0c3d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,22.15,41.75,USD,5,1,Chrome finish is highly reflective for a mirror-like look that works with any decorating styleCorrosion resistantLimited lifetime warranty,Chrome finish is highly reflective for a mirror-like look that works with any decorating styleCorrosion resistantLimited lifetime warranty,https://www.walmart.com/ip/Preston-24-Inch-Double-Towel-Bar-Chrome/22146146
Heatable towel rail,Heatable towel rail,apple,walmart,2HUL5ZQPVG9W,Preston 18 in. Towel Bar in Chrome,Preston 18 in. Towel Bar in Chrome,https://i5.walmartimages.com/asr/8746ee8a-2ab9-476f-a101-4abcddd06c2d.7e635c79e3e64439b78f61680ee0e2c4.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,19.99,,USD,4,1,Chrome finish is highly reflective for a mirror-like look that works with any decorating styleCorrosion resistantLimited lifetime warranty,Chrome finish is highly reflective for a mirror-like look that works with any decorating styleCorrosion resistantLimited lifetime warranty,https://www.walmart.com/ip/Preston-18-in-Towel-Bar-in-Chrome/22146280
